,DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,CLOSE-OPEN,ACTION,MERCATO
0,01/12/2003,1.1991,1.2037,1.1932,1.1969,7804,-0.0021999999999999797,BUY,-1.0
1,02/12/2003,1.1966,1.2088,1.1939,1.2084,8928,0.01179999999999981,BUY,1.0
2,03/12/2003,1.2099,1.2126,1.2061,1.2108,6673,0.0009000000000001229,BUY,1.0
3,04/12/2003,1.2109999999999999,1.2157,1.2025,1.2085,10326,-0.0024999999999999467,BUY,-1.0
4,05/12/2003,1.2081,1.2174,1.2062,1.2166,9330,0.008499999999999952,BUY,1.0
5,08/12/2003,1.2167,1.2237,1.2133,1.2194,5187,0.0027000000000001467,BUY,1.0
6,09/12/2003,1.2193,1.2242,1.2153,1.2228,4363,0.0035000000000000586,BUY,1.0
7,10/12/2003,1.2218,1.2234,1.212,1.2187,4993,-0.0031000000000001027,BUY,-1.0
8,11/12/2003,1.2185,1.2204,1.2081,1.2197,9421,0.0012000000000000899,BUY,1.0
9,12/12/2003,1.2194,1.2277,1.2178,1.2245,8423,0.005099999999999882,BUY,1.0
10,15/12/2003,1.2125,1.2295,1.2115,1.229,9345,0.01650000000000018,BUY,1.0
11,16/12/2003,1.2283,1.2329999999999999,1.227,1.23,8350,0.0017000000000000348,BUY,1.0
12,17/12/2003,1.2301,1.2394,1.2266,1.2382,9701,0.008099999999999996,BUY,1.0
13,18/12/2003,1.2372,1.2409999999999999,1.2329999999999999,1.2398,8449,0.0025999999999999357,BUY,1.0
14,19/12/2003,1.2394,1.2404,1.2314,1.2341,8481,-0.005300000000000082,BUY,-1.0
15,22/12/2003,1.2335,1.2419,1.232,1.2368,5126,0.0032999999999998586,BUY,1.0
16,23/12/2003,1.2375,1.24,1.2358,1.2365,3706,-0.001000000000000112,BUY,-1.0
17,24/12/2003,1.2373,1.2445,1.2369,1.2435,2526,0.006199999999999983,BUY,1.0
18,26/12/2003,1.2422,1.2437,1.24,1.2403,761,-0.0019000000000000128,BUY,-1.0
19,29/12/2003,1.2404,1.2484,1.24,1.246,3984,0.005600000000000049,BUY,1.0
20,30/12/2003,1.2462,1.2537,1.2453,1.2532,5121,0.007000000000000117,BUY,1.0
21,31/12/2003,1.2524,1.2623,1.2489,1.2566,5639,0.0041999999999999815,BUY,1.0
22,02/01/2004,1.2583,1.2597,1.2538,1.2565,4034,-0.0018000000000000238,BUY,-1.0
23,05/01/2004,1.2607,1.2672,1.2601,1.2649,29625,0.0041999999999999815,BUY,1.0
24,06/01/2004,1.265,1.2788,1.2644,1.2708,58574,0.005800000000000027,BUY,1.0
25,07/01/2004,1.2705,1.2719,1.2603,1.2604,52534,-0.010099999999999998,BUY,-1.0
26,08/01/2004,1.2606,1.2758,1.2537,1.2743,70556,0.013700000000000045,BUY,1.0
27,09/01/2004,1.2749,1.2847,1.2679,1.2797,55719,0.0048000000000001375,BUY,1.0
28,12/01/2004,1.2827,1.2875,1.2711,1.2728,48403,-0.00990000000000002,BUY,-1.0
29,13/01/2004,1.2716,1.2775,1.2688,1.2753,51706,0.0037000000000000366,BUY,1.0
30,14/01/2004,1.2746,1.2766,1.2608,1.2624,63395,-0.012199999999999989,BUY,-1.0
31,15/01/2004,1.2627,1.2653,1.2541,1.2554,54491,-0.007299999999999862,BUY,-1.0
32,16/01/2004,1.2562,1.2588,1.2332,1.236,75314,-0.020199999999999996,BUY,-1.0
33,19/01/2004,1.237,1.2407,1.2315,1.2355,16944,-0.0015000000000000568,BUY,-1.0
34,20/01/2004,1.2341,1.2578,1.2327,1.2562,63746,0.02210000000000001,BUY,1.0
35,21/01/2004,1.2574,1.2655,1.2531,1.2622,57450,0.0047999999999999154,BUY,1.0
36,22/01/2004,1.2615,1.2734,1.2615,1.2698,57123,0.008299999999999974,BUY,1.0
37,23/01/2004,1.271,1.2758,1.2546,1.2569,58500,-0.014100000000000001,BUY,-1.0
38,26/01/2004,1.2564,1.2597,1.244,1.2445,60640,-0.011900000000000022,BUY,-1.0
39,27/01/2004,1.2445,1.2639,1.2422,1.2628,62412,0.018299999999999983,BUY,1.0
40,28/01/2004,1.2624,1.2629,1.2446,1.2457,77449,-0.016699999999999937,BUY,-1.0
41,29/01/2004,1.2409999999999999,1.252,1.2347,1.2395,69373,-0.0014999999999998348,BUY,-1.0
42,30/01/2004,1.2392,1.2479,1.2335,1.2458,63344,0.006599999999999939,BUY,1.0
43,02/02/2004,1.2471,1.2472,1.2375,1.2408,39403,-0.006300000000000194,BUY,-1.0
44,03/02/2004,1.2425,1.2585,1.2401,1.2531,57926,0.010600000000000165,BUY,1.0
45,04/02/2004,1.2532,1.2565,1.2462,1.2518,44055,-0.0014000000000000679,BUY,-1.0
46,05/02/2004,1.2527,1.2625,1.2507,1.2535,50676,0.0008000000000001339,BUY,1.0
47,06/02/2004,1.2542,1.2714,1.25,1.2693,70718,0.015100000000000113,BUY,1.0
48,09/02/2004,1.2615,1.275,1.2612,1.2686,66414,0.007099999999999884,BUY,1.0
49,10/02/2004,1.2686,1.2777,1.2655,1.2661,53186,-0.0024999999999999467,BUY,-1.0
50,11/02/2004,1.2669,1.2825,1.2623,1.2823,68209,0.01540000000000008,BUY,1.0
51,12/02/2004,1.2831,1.2837,1.2776,1.2795,52200,-0.0035999999999998256,BUY,-1.0
52,13/02/2004,1.2808,1.2886,1.2705,1.272,77118,-0.008799999999999919,BUY,-1.0
53,16/02/2004,1.2719,1.278,1.2708,1.2771,9456,0.005199999999999871,BUY,1.0
54,17/02/2004,1.2756,1.2868,1.275,1.2833,61603,0.00770000000000004,BUY,1.0
