,DATA,DECISIONE,ANDAMENTO MERCATO,OPEN,MAX,MIN,CLOSE,VOLUME,CLOSE-OPEN
507,08/01/2015,HOLD,1,9658.0,9863.0,9613.0,9828.0,129566,170.0
508,09/01/2015,BUY,-1,9815.5,9868.0,9602.5,9675.5,139759,-140.0
509,12/01/2015,HOLD,1,9661.5,9823.0,9625.0,9771.0,129815,109.5
510,13/01/2015,SELL,1,9787.5,9986.0,9756.5,9868.5,136168,81.0
511,14/01/2015,HOLD,1,9786.0,9969.5,9766.0,9873.0,170228,87.0
512,15/01/2015,HOLD,1,9954.0,10070.0,9582.5,10008.0,203485,54.0
513,16/01/2015,HOLD,1,9961.0,10316.0,9944.0,10289.5,163499,328.5
514,19/01/2015,SELL,-1,10255.0,10301.0,10195.5,10251.5,76720,-3.5
515,20/01/2015,SELL,-1,10315.0,10315.0,10215.0,10279.0,105609,-36.0
516,21/01/2015,HOLD,1,10276.0,10319.5,10153.0,10307.0,144795,31.0
517,22/01/2015,HOLD,1,10320.0,10548.5,10229.0,10502.0,147572,182.0
518,23/01/2015,BUY,1,10500.0,10711.5,10486.5,10620.0,151697,120.0
519,26/01/2015,BUY,1,10576.0,10857.5,10572.5,10827.5,128007,251.5
520,27/01/2015,HOLD,-1,10825.5,10828.0,10596.0,10655.0,133674,-170.5
521,28/01/2015,HOLD,-1,10722.0,10756.5,10553.0,10590.5,130721,-131.5
522,29/01/2015,HOLD,1,10605.0,10832.0,10599.0,10806.5,117834,201.5
523,30/01/2015,HOLD,-1,10799.0,10821.5,10643.5,10650.0,118038,-149.0
524,02/02/2015,BUY,1,10699.0,10884.0,10681.0,10876.5,115625,177.5
525,03/02/2015,SELL,1,10854.5,10989.5,10846.5,10925.0,119006,70.5
526,04/02/2015,HOLD,-1,10933.0,10942.0,10805.0,10834.0,106784,-99.0
527,05/02/2015,HOLD,1,10798.0,10932.5,10793.0,10891.0,99441,93.0
528,06/02/2015,SELL,-1,10885.0,10891.0,10757.0,10785.0,92704,-100.0
529,09/02/2015,BUY,-1,10750.0,10779.5,10600.5,10656.0,115900,-94.0
530,10/02/2015,HOLD,1,10679.5,10816.0,10592.5,10796.5,119334,117.0
531,11/02/2015,HOLD,-1,10771.0,10800.0,10698.0,10768.5,78849,-2.5
532,12/02/2015,HOLD,1,10787.5,10978.5,10732.0,10976.5,111304,189.0
533,13/02/2015,BUY,-1,10980.0,11016.5,10942.5,10975.5,80477,-4.5
534,16/02/2015,HOLD,-1,10961.5,10968.0,10843.5,10846.0,51463,-115.5
535,17/02/2015,SELL,1,10839.5,10949.0,10765.5,10909.0,99708,69.5
536,18/02/2015,HOLD,1,10905.5,10984.0,10898.0,10956.0,70249,50.5
537,19/02/2015,BUY,1,10952.5,11025.0,10872.5,10985.0,108658,32.5
538,20/02/2015,HOLD,1,10976.0,11164.5,10948.0,11117.0,129930,141.0
539,23/02/2015,HOLD,-1,11134.5,11161.5,11070.0,11120.5,76731,-14.0
540,24/02/2015,HOLD,1,11134.5,11234.5,11090.0,11218.0,85377,83.5
541,25/02/2015,BUY,-1,11223.0,11233.0,11177.0,11197.5,59881,-25.5
542,26/02/2015,HOLD,1,11229.5,11335.5,11189.0,11319.0,85030,89.5
543,27/02/2015,SELL,1,11318.5,11402.5,11303.5,11380.0,88833,61.5
544,02/03/2015,HOLD,1,11403.5,11457.0,11365.0,11435.0,82041,31.5
545,03/03/2015,HOLD,-1,11417.0,11475.5,11258.5,11313.5,100323,-103.5
546,04/03/2015,HOLD,1,11317.5,11422.0,11194.0,11404.0,122695,86.5
547,05/03/2015,SELL,1,11426.0,11535.0,11408.5,11504.0,103624,78.0
548,06/03/2015,HOLD,-1,11521.5,11603.5,11495.5,11512.5,91606,-9.0
549,09/03/2015,BUY,1,11519.0,11609.5,11463.0,11582.5,79875,63.5
550,10/03/2015,HOLD,-1,11575.0,11578.0,11403.0,11513.5,118371,-61.5
551,11/03/2015,HOLD,1,11536.5,11854.5,11531.0,11824.0,135857,287.5
552,12/03/2015,HOLD,-1,11843.0,11852.0,11756.5,11832.5,130851,-10.5
553,13/03/2015,HOLD,1,11850.0,11978.0,11742.5,11942.5,129125,92.5
554,16/03/2015,HOLD,1,11947.5,12223.5,11933.0,12166.0,163849,218.5
555,17/03/2015,HOLD,-1,12152.5,12198.0,11928.5,12007.5,195031,-145.0
556,18/03/2015,HOLD,-1,12023.0,12031.5,11814.5,11875.5,196344,-147.5
557,19/03/2015,HOLD,-1,11900.0,12004.0,11785.5,11898.5,138000,-1.5
558,20/03/2015,HOLD,1,11965.0,12116.0,11953.0,12048.5,119115,83.5
559,23/03/2015,HOLD,-1,12068.5,12069.0,11850.5,11892.0,108534,-176.5
560,24/03/2015,HOLD,1,11905.0,12061.0,11822.5,12002.0,115045,97.0
561,25/03/2015,HOLD,-1,11990.0,12050.0,11867.5,11890.0,106660,-100.0
562,26/03/2015,BUY,1,11814.0,11924.5,11650.0,11902.5,153489,88.5
563,27/03/2015,HOLD,-1,11919.5,11984.0,11828.0,11901.5,102418,-18.0
564,30/03/2015,HOLD,1,11930.0,12139.5,11917.0,12108.0,88431,178.0
565,31/03/2015,HOLD,-1,12092.0,12154.0,11945.5,11959.5,112933,-132.5
