DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,CLASS
02/06/2003,117.8,117.89,117.37,117.57,1431284,-1
03/06/2003,117.78,118.8,117.66,118.76,2149576,1
04/06/2003,118.68,118.77,118.18,118.41,2195226,-1
05/06/2003,118.32,118.98,117.97,118.65,1483760,1
06/06/2003,118.11,118.48,117.56,117.96,1652773,-1
09/06/2003,118.12,118.68,117.95,118.58,1060924,1
10/06/2003,118.61,119.22,118.32,119.14,1909723,1
11/06/2003,119.05,119.36,118.74,119.18,2101675,1
12/06/2003,119,119.29,118.8,119.21,1982078,1
13/06/2003,119.11,119.77,119.04,119.7,1939249,1
16/06/2003,119.65,120,119.12,119.22,2022336,-1
17/06/2003,119.27,119.36,118.29,118.51,2306300,-1
18/06/2003,118.45,118.54,117.51,117.66,2379313,-1
19/06/2003,117.77,118.06,117.26,117.94,1793191,1
20/06/2003,117.75,118.28,117.34,117.36,1592852,-1
23/06/2003,117.45,117.88,117.38,117.84,1737565,1
24/06/2003,118.07,118.07,117.48,117.91,1980961,-1
25/06/2003,118.12,118.56,117.97,118.25,1809147,1
26/06/2003,117.34,117.62,116.56,116.66,2080610,-1
27/06/2003,116.44,116.9,116.08,116.11,1810136,-1
30/06/2003,116.27,116.89,116.23,116.82,1809168,1
01/07/2003,116.89,117.14,116.63,116.71,2158937,-1
02/07/2003,116.53,116.53,115.89,116.29,2854752,-1
03/07/2003,116.25,116.39,115.53,115.72,1866163,-1
04/07/2003,115.61,116.24,115.59,116.24,726048,1
07/07/2003,115.89,115.99,115.46,115.61,1656723,-1
08/07/2003,115.46,116.07,115.27,115.65,2196268,1
09/07/2003,115.91,116.19,115.76,115.95,1939582,1
10/07/2003,116.23,116.49,116.09,116.49,1790345,1
11/07/2003,116.48,116.48,116.09,116.44,1706476,-1
14/07/2003,116.62,116.84,116.54,116.64,1480341,1
15/07/2003,116.28,116.37,115.06,115.07,1939180,-1
16/07/2003,114.7,115.48,114.57,115.21,2410511,1
17/07/2003,115.54,115.56,114.64,115.33,2264812,-1
18/07/2003,115.44,115.47,115.18,115.37,1561187,-1
21/07/2003,115.24,115.36,114.8,114.99,1962482,-1
22/07/2003,114.47,115.23,114.47,114.84,2514189,1
23/07/2003,115.2,115.82,114.99,115.79,2645290,1
24/07/2003,115.69,115.82,114.94,115.15,2334046,-1
25/07/2003,115.22,115.87,115.19,115.53,1663869,1
28/07/2003,115.3,115.41,114.61,114.73,2410230,-1
29/07/2003,114.55,115.37,114.5,114.74,2356711,1
