,DATA,DECISIONE,ANDAMENTO MERCATO,OPEN,MAX,MIN,CLOSE,VOLUME,CLOSE-OPEN
507,27/05/2005,BUY,-1,121.82,122.08,121.67,121.81,4987520,-0.009999999999990905
508,30/05/2005,SELL,1,121.74,121.81,121.61,121.74,1656769,0.0
509,31/05/2005,BUY,1,121.63,122.4,121.5,122.32,8489344,0.6899999999999977
510,01/06/2005,HOLD,1,122.15,122.79,122.15,122.7,9508792,0.5499999999999972
511,02/06/2005,HOLD,1,122.63,122.93,122.55,122.88,7173739,0.25
512,03/06/2005,HOLD,-1,122.82,123.29,122.58,122.68,9212341,-0.13999999999998636
513,06/06/2005,HOLD,1,122.57,122.93,122.57,122.91,5000820,0.3400000000000034
514,07/06/2005,HOLD,1,123.1,123.44,123.04,123.39,5529855,0.29000000000000625
515,08/06/2005,HOLD,1,123.18,123.58,123.16,123.57,6367156,0.38999999999998636
516,09/06/2005,HOLD,1,123.48,123.6,123.08,123.53,7849926,0.04999999999999716
517,10/06/2005,BUY,-1,123.55,123.62,123.13,123.39,6018760,-0.1599999999999966
518,13/06/2005,HOLD,-1,123.28,123.55,122.81,122.99,7548159,-0.29000000000000625
519,14/06/2005,HOLD,-1,123.04,123.11,122.7,122.83,8780621,-0.21000000000000796
520,15/06/2005,BUY,-1,122.86,122.88,121.8,121.81,12871663,-1.0499999999999972
521,16/06/2005,HOLD,1,121.89,121.98,121.28,121.92,10808290,0.030000000000001137
522,17/06/2005,HOLD,1,121.95,122.15,121.63,122.0,7204607,0.04999999999999716
523,20/06/2005,SELL,1,121.93,122.16,121.64,121.99,5420415,0.05999999999998806
524,21/06/2005,HOLD,1,121.88,122.74,121.76,122.72,7412295,0.8400000000000034
525,22/06/2005,HOLD,1,122.7,123.46,122.61,123.37,7887122,0.6700000000000017
526,23/06/2005,HOLD,-1,123.51,123.53,123.09,123.19,6483499,-0.3200000000000074
527,24/06/2005,BUY,1,123.3,123.73,123.23,123.43,5487612,0.13000000000000966
528,27/06/2005,SELL,1,123.47,123.78,123.35,123.59,3592158,0.12000000000000455
529,28/06/2005,HOLD,-1,123.44,123.55,123.04,123.18,6121611,-0.2599999999999909
530,29/06/2005,BUY,-1,123.21,123.54,122.79,123.03,8545027,-0.1799999999999926
531,30/06/2005,HOLD,1,123.0,123.62,122.85,123.52,7061364,0.519999999999996
532,01/07/2005,HOLD,-1,123.48,123.71,123.14,123.31,5327499,-0.1700000000000017
533,04/07/2005,HOLD,1,123.12,123.24,122.84,123.16,2333703,0.03999999999999204
534,05/07/2005,HOLD,-1,123.13,123.15,122.49,122.75,6354878,-0.37999999999999545
535,06/07/2005,HOLD,-1,122.79,122.91,122.63,122.67,4868435,-0.12000000000000455
536,07/07/2005,BUY,1,122.64,124.06,122.6,123.04,6950875,0.4000000000000057
537,08/07/2005,HOLD,1,123.02,123.29,122.82,123.05,4408567,0.030000000000001137
538,11/07/2005,HOLD,-1,122.95,123.03,122.39,122.56,4702058,-0.39000000000000057
539,12/07/2005,SELL,-1,122.68,122.78,122.36,122.57,5132850,-0.11000000000001364
540,13/07/2005,BUY,-1,122.45,122.55,122.26,122.42,4510547,-0.030000000000001137
541,14/07/2005,HOLD,-1,122.4,122.48,122.0,122.04,6157049,-0.35999999999999943
542,15/07/2005,HOLD,1,122.06,122.2,121.85,122.12,5068294,0.060000000000002274
543,18/07/2005,HOLD,1,122.06,122.47,122.01,122.3,3429821,0.23999999999999488
544,19/07/2005,HOLD,1,122.2,122.23,121.77,122.2,5151743,0.0
545,20/07/2005,SELL,-1,122.1,122.24,121.83,122.04,4947172,-0.05999999999998806
546,21/07/2005,BUY,-1,122.26,122.45,121.85,122.02,6699644,-0.2400000000000091
547,22/07/2005,BUY,1,121.97,122.65,121.92,122.5,5236896,0.5300000000000011
548,25/07/2005,BUY,1,122.48,122.78,122.42,122.65,3192404,0.1700000000000017
549,26/07/2005,HOLD,-1,122.62,122.64,122.31,122.5,5171223,-0.12000000000000455
550,27/07/2005,HOLD,1,122.55,122.76,122.46,122.61,5314713,0.060000000000002274
551,28/07/2005,HOLD,-1,122.6,122.66,122.32,122.58,5700163,-0.01999999999999602
552,29/07/2005,HOLD,-1,122.63,122.74,122.35,122.45,6076426,-0.1799999999999926
553,01/08/2005,BUY,-1,122.32,122.32,121.84,122.0,4759727,-0.3199999999999932
554,02/08/2005,HOLD,-1,121.97,122.09,121.57,121.66,7972678,-0.3100000000000023
555,03/08/2005,BUY,1,121.63,121.84,121.42,121.79,6143757,0.1600000000000108
556,04/08/2005,BUY,-1,121.78,121.88,121.53,121.59,4634725,-0.18999999999999773
557,05/08/2005,HOLD,-1,121.62,121.76,121.16,121.26,6564353,-0.35999999999999943
558,08/08/2005,BUY,1,121.23,121.41,121.21,121.35,2789449,0.11999999999999034
559,09/08/2005,HOLD,1,121.23,121.49,121.2,121.28,4360604,0.04999999999999716
560,10/08/2005,SELL,1,121.42,121.73,121.34,121.56,5880841,0.14000000000000057
561,11/08/2005,HOLD,1,121.4,121.78,121.3,121.78,4730542,0.37999999999999545
562,12/08/2005,HOLD,1,121.87,122.22,121.8,122.17,4755572,0.29999999999999716
563,15/08/2005,HOLD,1,122.2,122.34,122.09,122.23,2890699,0.030000000000001137
564,16/08/2005,HOLD,1,122.21,122.69,122.08,122.66,5783551,0.45000000000000284
565,17/08/2005,HOLD,1,122.64,122.75,122.45,122.68,5059515,0.04000000000000625
566,18/08/2005,HOLD,1,122.65,123.05,122.59,123.05,5940028,0.3999999999999915
567,19/08/2005,HOLD,-1,123.13,123.22,122.86,123.04,3700051,-0.0899999999999892
568,22/08/2005,HOLD,1,123.1,123.25,122.84,123.25,3549345,0.15000000000000568
569,23/08/2005,HOLD,1,123.24,123.29,122.89,123.24,5254260,0.0
570,24/08/2005,SELL,1,123.25,123.45,123.13,123.27,6049407,0.01999999999999602
571,25/08/2005,HOLD,1,123.29,123.59,123.26,123.58,4506984,0.28999999999999204
572,26/08/2005,HOLD,-1,123.6,123.64,123.35,123.42,4201154,-0.1799999999999926
573,29/08/2005,HOLD,-1,123.68,123.76,123.36,123.48,1681715,-0.20000000000000284
574,30/08/2005,HOLD,-1,123.46,123.53,123.14,123.43,6177246,-0.029999999999986926
575,31/08/2005,HOLD,1,123.55,124.0,123.55,123.95,9010886,0.4000000000000057
576,01/09/2005,HOLD,1,123.9,124.35,123.8,124.34,9998410,0.4399999999999977
577,02/09/2005,BUY,-1,124.38,124.6,124.13,124.33,7447428,-0.04999999999999716
578,05/09/2005,HOLD,1,124.37,124.5,124.33,124.43,1496334,0.060000000000002274
579,06/09/2005,HOLD,-1,124.3,124.36,123.97,124.21,8677930,-0.09000000000000341
580,07/09/2005,HOLD,-1,124.14,124.3,123.96,124.02,4346752,-0.12000000000000455
581,08/09/2005,HOLD,1,123.07,123.46,123.04,123.38,6061327,0.3100000000000023
582,09/09/2005,HOLD,1,123.33,123.63,123.2,123.56,4605096,0.23000000000000398
583,12/09/2005,HOLD,-1,123.5,123.53,122.83,122.87,7192148,-0.6299999999999955
584,13/09/2005,BUY,1,122.89,123.21,122.64,123.12,9070087,0.23000000000000398
585,14/09/2005,HOLD,1,123.06,123.39,123.05,123.16,7206779,0.09999999999999432
586,15/09/2005,SELL,-1,123.03,123.23,122.85,122.86,8815873,-0.1700000000000017
587,16/09/2005,BUY,-1,122.91,122.96,122.66,122.74,6020562,-0.1700000000000017
588,19/09/2005,HOLD,1,122.62,123.3,122.55,123.17,5059483,0.5499999999999972
589,20/09/2005,HOLD,1,123.13,123.37,123.13,123.28,5012066,0.15000000000000568
590,21/09/2005,HOLD,1,123.43,123.85,123.4,123.82,8438392,0.38999999999998636
591,22/09/2005,HOLD,-1,123.88,124.01,123.57,123.8,8350816,-0.0799999999999983
592,23/09/2005,HOLD,-1,123.76,123.78,123.38,123.4,6105313,-0.35999999999999943
593,26/09/2005,HOLD,-1,123.27,123.27,122.75,122.77,6990778,-0.5
594,27/09/2005,HOLD,1,122.75,122.99,122.57,122.77,9047280,0.01999999999999602
595,28/09/2005,BUY,1,122.69,122.88,122.43,122.84,7583544,0.15000000000000568
596,29/09/2005,HOLD,-1,122.83,123.06,122.38,122.5,9732740,-0.3299999999999983
597,30/09/2005,HOLD,1,122.51,122.76,122.5,122.53,7158362,0.01999999999999602
598,03/10/2005,BUY,-1,122.55,122.71,122.08,122.24,5911604,-0.3100000000000023
599,04/10/2005,HOLD,1,122.06,122.39,121.99,122.21,6112259,0.14999999999999147
600,05/10/2005,BUY,-1,122.28,122.53,122.27,122.27,6545889,-0.010000000000005116
601,06/10/2005,HOLD,-1,122.4,122.46,122.13,122.22,8388991,-0.18000000000000682
602,07/10/2005,HOLD,1,122.14,122.43,121.93,122.4,7221098,0.2600000000000051
603,10/10/2005,BUY,1,122.32,122.56,122.31,122.43,2027369,0.11000000000001364
604,11/10/2005,HOLD,-1,122.39,122.45,122.14,122.18,5737302,-0.20999999999999375
605,12/10/2005,BUY,-1,122.12,122.2,121.8,121.85,8969923,-0.27000000000001023
606,13/10/2005,HOLD,-1,121.7,121.79,121.29,121.35,8088479,-0.3500000000000085
607,14/10/2005,BUY,-1,121.4,121.68,121.13,121.13,7733612,-0.27000000000001023
