0,ACCURACY,MAXDRAWDOWN,EQUITY,EQUITY/MDD,TRAIN_SIZE,TEST_SIZE,FEATURE_SIZE,MIN_SAMPLES_LEAF,MAX_DEPTH,N_ESTIMATORS,LOSS
1,0.497063903,57925,-47950,-0.827794562,1000,200,7,15,3,1000,DEVIANCE
2,0.503367003,50777.5,-35852.5,-0.706070602,1500,200,2,10,6,500,DEVIANCE
3,0.503367003,48325,-33277.5,-0.688618727,1500,200,2,10,3,1000,DEVIANCE
4,0.510942761,34075,-20977.5,-0.615627293,1500,200,2,10,3,500,DEVIANCE
5,0.512246622,48337.5,-29450,-0.609257823,1500,150,2,10,6,100,DEVIANCE
6,0.505141917,53987.5,-31400,-0.581616115,1500,150,7,10,3,100,DEVIANCE
7,0.50464527,27112.5,-15195,-0.5604426,1500,150,2,15,6,1000,DEVIANCE
8,0.514309764,40625,-22552.5,-0.555138462,1500,200,2,10,6,100,DEVIANCE
9,0.497902098,58112.5,-31400,-0.540331254,1000,150,7,15,3,1000,DEVIANCE
10,0.495335277,56132.5,-30307.5,-0.539927849,450,100,2,10,3,500,DEVIANCE
11,0.50431921,54377.5,-27740,-0.510137465,1500,150,7,10,6,50,DEVIANCE
12,0.508868243,37850,-19195,-0.507133421,1500,150,2,10,3,500,DEVIANCE
13,0.505141917,51125,-21750,-0.425427873,1500,150,7,10,6,500,DEVIANCE
14,0.501749271,55832.5,-22432.5,-0.401782116,450,100,2,10,6,50,DEVIANCE
15,0.508023649,38412.5,-14920,-0.388415229,1500,150,2,15,6,500,DEVIANCE
16,0.501554404,54865,-19875,-0.362252802,1000,200,7,15,3,500,DEVIANCE
17,0.521885522,39275,-12512.5,-0.318586887,1500,200,2,10,3,100,DEVIANCE
18,0.513708514,42250,-13002.5,-0.307751479,1000,200,2,15,3,100,DEVIANCE
19,0.521258503,52975,-15312.5,-0.289051439,1500,200,4,15,6,500,DEVIANCE
20,0.493002915,50707.5,-14632.5,-0.28856678,450,100,2,10,6,500,DEVIANCE
21,0.511824324,36575,-10395,-0.284210526,1500,150,2,10,6,1000,DEVIANCE
22,0.512953368,47875,-13330,-0.27843342,1500,200,7,15,3,100,DEVIANCE
23,0.500594177,49862.5,-13537.5,-0.271496616,450,200,2,15,3,1000,DEVIANCE
24,0.504456328,45512.5,-12222.5,-0.268552595,450,200,2,10,3,500,DEVIANCE
25,0.506989247,43537.5,-11620,-0.266896354,200,100,7,10,6,50,DEVIANCE
26,0.507575758,35500,-9427.5,-0.26556338,1500,200,2,10,6,1000,DEVIANCE
27,0.498951049,41655,-10655,-0.255791622,1000,150,7,10,3,1000,DEVIANCE
28,0.515212982,44825,-10750,-0.239821528,1500,500,7,10,6,1000,DEVIANCE
29,0.513691684,34612.5,-8270,-0.238931022,1500,500,7,15,3,500,DEVIANCE
30,0.510557432,35200,-8245,-0.234232955,1500,150,2,10,3,1000,DEVIANCE
31,0.512774807,45612.5,-10472.5,-0.22959715,450,200,2,10,3,50,DEVIANCE
32,0.514248705,36137.5,-8150,-0.225527499,1500,200,7,10,3,100,DEVIANCE
33,0.498833819,53987.5,-11537.5,-0.213706877,450,100,2,15,3,500,DEVIANCE
34,0.510880829,60450,-12825,-0.212158809,1000,200,7,10,3,50,DEVIANCE
35,0.509666804,54300,-11395,-0.20985267,1500,150,7,10,6,1000,DEVIANCE
36,0.521084337,34675,-7150,-0.206200433,1500,500,2,10,6,500,DEVIANCE
37,0.518649194,52887.5,-10625,-0.200898133,1500,500,4,10,3,100,DEVIANCE
38,0.504079254,50475,-10042.5,-0.198959881,450,150,7,15,6,50,DEVIANCE
39,0.50440658,49912.5,-9825,-0.196844478,450,150,2,10,6,50,DEVIANCE
40,0.516227181,27775,-5185,-0.186678668,1500,500,7,10,3,500,DEVIANCE
41,0.513091216,30062.5,-5555,-0.184781705,1500,150,2,15,3,1000,DEVIANCE
42,0.495337995,40812.5,-7142.5,-0.175007657,450,150,7,10,6,100,DEVIANCE
43,0.499412456,42387.5,-7325,-0.17281038,450,150,2,10,3,1000,DEVIANCE
44,0.526104418,34312.5,-5895,-0.171803279,1500,500,2,10,6,100,DEVIANCE
45,0.503525264,57090,-9415,-0.164915046,450,150,2,15,6,100,DEVIANCE
46,0.506085193,30850,-4935,-0.159967585,1500,500,7,15,3,1000,DEVIANCE
47,0.523185484,51912.5,-8050,-0.155068625,1500,500,4,10,3,50,DEVIANCE
48,0.50388601,31707.5,-4870,-0.153591422,1500,200,7,15,6,100,DEVIANCE
49,0.53062249,35837.5,-4995,-0.139379142,1500,500,2,10,3,100,DEVIANCE
50,0.49982657,43575,-5875,-0.134825014,1000,100,7,10,3,1000,DEVIANCE
51,0.501749271,51900,-6262.5,-0.12066474,450,100,2,15,6,100,DEVIANCE
52,0.527610442,37137.5,-4375,-0.117805453,1500,500,2,15,3,500,DEVIANCE
53,0.522590361,31725,-3470,-0.109377463,1500,500,2,10,6,50,DEVIANCE
54,0.505964624,48337.5,-4845,-0.100232739,1500,150,7,15,6,1000,DEVIANCE
55,0.510942761,28425,-2832.5,-0.099648197,1500,200,2,15,6,500,DEVIANCE
56,0.512820513,36200,-3142.5,-0.086809392,1500,100,7,15,3,500,DEVIANCE
57,0.500172712,38540,-3290,-0.085365854,1000,200,7,10,3,500,DEVIANCE
