0,ACCURACY,MAXDRAWDOWN,EQUITY,EQUITY/MDD,TRAIN_SIZE,TEST_SIZE,FEATURE_SIZE,MIN_SAMPLES_LEAF,MAX_DEPTH,N_ESTIMATORS,LOSS
1,0.471328671,247550,-239100,-0.965865482,500,150,7,15,3,50,DEVIANCE
2,0.471328671,282925,-271400,-0.959264823,500,150,7,15,6,500,DEVIANCE
3,0.468493151,418975,-401525,-0.958350737,400,150,4,15,3,100,DEVIANCE
4,0.46993007,297900,-284650,-0.955521987,500,150,7,15,6,100,DEVIANCE
5,0.495890411,246475,-229025,-0.929201745,400,150,4,15,3,500,DEVIANCE
6,0.476923077,256825,-237350,-0.924170155,500,150,7,15,6,50,DEVIANCE
7,0.481118881,276600,-249750,-0.902928416,500,150,7,15,6,1000,DEVIANCE
8,0.480654762,217750,-193225,-0.887370838,500,100,4,15,3,1000,DEVIANCE
9,0.465753425,409725,-359525,-0.877478797,400,150,4,15,3,50,DEVIANCE
10,0.482191781,308025,-265975,-0.863485107,400,150,4,10,6,1000,DEVIANCE
11,0.47972028,301850,-257675,-0.853652476,400,150,7,10,3,1000,DEVIANCE
12,0.462365591,324700,-275950,-0.849861411,500,100,7,15,3,50,DEVIANCE
13,0.49375,295350,-239450,-0.810733029,200,100,4,15,6,50,DEVIANCE
14,0.461021505,420600,-340200,-0.808844508,500,100,7,15,3,100,DEVIANCE
15,0.453146853,262550,-212200,-0.808227004,500,150,7,10,3,50,DEVIANCE
16,0.484931507,355000,-283425,-0.798380282,400,150,4,10,3,100,DEVIANCE
17,0.472789116,168125,-132500,-0.788104089,500,200,4,15,3,1000,DEVIANCE
18,0.494791667,329225,-253600,-0.770293872,200,100,4,10,6,50,DEVIANCE
19,0.475806452,254250,-195450,-0.768731563,500,100,7,15,6,1000,DEVIANCE
20,0.486394558,265700,-203300,-0.765148664,500,200,4,10,3,50,DEVIANCE
21,0.489041096,246725,-187725,-0.760867362,400,150,4,10,3,500,DEVIANCE
22,0.483916084,269050,-203425,-0.756086229,400,150,7,10,3,500,DEVIANCE
23,0.493150685,234400,-176825,-0.754372867,400,150,4,15,6,100,DEVIANCE
24,0.480654762,210650,-157075,-0.74566817,500,100,4,15,6,1000,DEVIANCE
25,0.467741935,245900,-182050,-0.740341602,500,100,7,10,3,50,DEVIANCE
26,0.481118881,321325,-237750,-0.739905081,500,150,7,10,6,1000,DEVIANCE
27,0.4921875,256025,-188750,-0.737232692,400,100,4,15,3,100,DEVIANCE
28,0.493489583,231275,-170150,-0.735704248,400,100,4,15,3,50,DEVIANCE
29,0.509589041,223400,-164225,-0.735116383,500,150,4,15,3,1000,DEVIANCE
30,0.48125,243600,-178750,-0.733784893,200,100,4,15,3,100,DEVIANCE
31,0.48630137,331975,-243575,-0.733714888,400,150,4,10,6,500,DEVIANCE
32,0.47972028,270925,-197850,-0.730275907,500,150,7,15,3,100,DEVIANCE
33,0.488095238,281825,-204575,-0.725893728,500,100,4,10,3,100,DEVIANCE
34,0.482993197,223700,-162100,-0.724631203,500,200,4,15,6,50,DEVIANCE
35,0.488095238,237600,-169825,-0.714751684,500,100,4,15,6,50,DEVIANCE
36,0.471774194,280000,-199400,-0.712142857,500,100,7,10,6,1000,DEVIANCE
37,0.474462366,287225,-204100,-0.710592741,500,100,7,10,6,500,DEVIANCE
38,0.497260274,225125,-159275,-0.707495836,400,150,4,10,3,1000,DEVIANCE
39,0.481518482,246650,-174125,-0.705959862,200,150,7,15,6,500,DEVIANCE
40,0.483630952,161025,-113275,-0.703462195,500,100,4,15,6,500,DEVIANCE
41,0.47311828,294600,-206300,-0.700271555,500,100,7,15,6,100,DEVIANCE
42,0.49744898,263175,-182125,-0.692030018,400,200,4,10,3,1000,DEVIANCE
43,0.461139896,415725,-287600,-0.691803476,400,200,7,10,6,50,DEVIANCE
44,0.490410959,321800,-219725,-0.682799876,400,150,4,15,6,1000,DEVIANCE
45,0.492708333,298300,-197850,-0.663258465,200,100,4,10,6,100,DEVIANCE
46,0.485215054,215700,-139700,-0.647658785,500,100,7,15,6,500,DEVIANCE
47,0.489583333,190850,-122925,-0.644092219,500,100,4,15,3,100,DEVIANCE
48,0.468531469,300475,-193275,-0.64323155,400,150,7,10,3,50,DEVIANCE
49,0.475507766,207975,-132575,-0.637456425,400,100,7,10,6,1000,DEVIANCE
50,0.5,229700,-146075,-0.63593818,400,150,4,15,3,1000,DEVIANCE
51,0.461139896,255525,-162200,-0.634771549,400,200,7,15,3,50,DEVIANCE
52,0.489583333,262850,-166575,-0.63372646,500,100,4,15,3,50,DEVIANCE
53,0.498630137,245550,-154925,-0.630930564,400,150,4,15,6,50,DEVIANCE
54,0.466397849,317225,-194400,-0.612814249,500,100,7,10,6,100,DEVIANCE
55,0.485119048,312800,-191475,-0.612132353,500,100,4,15,3,500,DEVIANCE
56,0.485215054,267650,-160450,-0.599476929,500,100,7,15,6,50,DEVIANCE
57,0.50127551,298750,-173675,-0.581338912,400,200,4,10,3,500,DEVIANCE
58,0.467132867,297500,-171500,-0.576470588,500,150,7,10,6,100,DEVIANCE
59,0.488095238,204175,-115825,-0.567282968,500,100,4,15,6,100,DEVIANCE
60,0.511479592,187925,-106475,-0.566582413,400,200,4,15,3,500,DEVIANCE
61,0.481118881,244700,-137750,-0.562934205,500,150,7,15,3,500,DEVIANCE
62,0.495535714,296150,-165825,-0.559935843,500,100,4,10,3,50,DEVIANCE
63,0.49702381,199750,-111625,-0.558823529,500,100,4,10,6,500,DEVIANCE
64,0.486713287,246600,-137550,-0.557785888,500,150,7,15,3,1000,DEVIANCE
65,0.485065711,126050,-70225,-0.55712019,400,100,7,10,3,1000,DEVIANCE
66,0.449481865,350375,-194950,-0.556403853,400,200,7,10,3,50,DEVIANCE
67,0.499402628,208775,-115825,-0.554783858,400,100,7,15,3,1000,DEVIANCE
68,0.4875,235200,-129900,-0.552295918,200,100,4,15,3,50,DEVIANCE
69,0.5,296250,-162250,-0.547679325,400,100,4,15,6,50,DEVIANCE
70,0.474125874,349900,-191150,-0.546298943,500,150,7,10,3,1000,DEVIANCE
71,0.49872449,253875,-136925,-0.539340226,400,200,4,15,3,1000,DEVIANCE
72,0.519178082,239575,-127975,-0.534175102,500,150,4,15,6,500,DEVIANCE
73,0.458333333,341300,-181350,-0.531350718,500,100,7,10,3,100,DEVIANCE
74,0.483916084,296975,-156150,-0.525801835,500,150,7,10,3,500,DEVIANCE
75,0.495818399,150250,-78825,-0.524625624,400,100,7,15,6,1000,DEVIANCE
76,0.49609375,345750,-179100,-0.518004338,400,100,4,15,6,100,DEVIANCE
77,0.491780822,322700,-167125,-0.517895879,400,150,4,10,6,100,DEVIANCE
78,0.493706294,227650,-117050,-0.514166484,500,150,7,10,6,500,DEVIANCE
79,0.490410959,285800,-145075,-0.507610217,400,150,4,10,6,50,DEVIANCE
80,0.487455197,139350,-68775,-0.493541442,400,100,7,10,3,500,DEVIANCE
81,0.498697917,330400,-162850,-0.492887409,400,100,4,15,6,500,DEVIANCE
82,0.471502591,284225,-139650,-0.491336089,400,200,7,10,6,100,DEVIANCE
83,0.505479452,233175,-114375,-0.490511418,400,150,4,10,3,50,DEVIANCE
84,0.494791667,208075,-100750,-0.484200409,200,100,4,10,3,1000,DEVIANCE
85,0.483592401,245350,-118725,-0.48390055,500,200,7,15,6,50,DEVIANCE
86,0.502739726,238100,-114925,-0.482675346,500,150,4,15,6,1000,DEVIANCE
87,0.5,185575,-85275,-0.459517715,400,200,4,15,3,50,DEVIANCE
88,0.482517483,284825,-130625,-0.458614939,200,150,7,15,6,1000,DEVIANCE
89,0.48864994,143275,-65125,-0.454545455,400,100,7,15,6,500,DEVIANCE
90,0.501302083,227250,-103050,-0.453465347,400,100,4,15,3,500,DEVIANCE
91,0.489583333,245650,-111350,-0.453287197,200,100,4,15,3,1000,DEVIANCE
92,0.497395833,284850,-128650,-0.451641215,400,100,4,10,6,50,DEVIANCE
93,0.521917808,229175,-101625,-0.44343842,500,150,4,15,6,50,DEVIANCE
94,0.494791667,191675,-83200,-0.434068084,200,100,4,10,3,500,DEVIANCE
95,0.513888889,202925,-87025,-0.428853025,400,200,2,15,3,1000,DEVIANCE
96,0.498958333,206825,-87150,-0.421370724,200,100,4,10,3,100,DEVIANCE
97,0.471502591,165000,-69200,-0.419393939,400,200,7,15,6,50,DEVIANCE
98,0.501369863,253700,-105175,-0.414564446,400,150,4,15,6,500,DEVIANCE
99,0.486394558,180600,-74450,-0.412236988,500,200,4,10,3,100,DEVIANCE
