0,ACCURACY,MAXDRAWDOWN,EQUITY,EQUITY/MDD,TRAIN_SIZE,TEST_SIZE,FEATURE_SIZE,MIN_SAMPLES_LEAF,MAX_DEPTH,N_ESTIMATORS,LOSS
1,0.496370968,1713,-1651.5,-0.964098074,1000,500,4,10,3,50,DEVIANCE
2,0.493951613,2717.5,-2321.5,-0.854277829,1000,500,4,10,3,100,DEVIANCE
3,0.480047647,1952.5,-1614,-0.826632522,200,150,4,10,3,1000,DEVIANCE
4,0.48951049,2484.5,-2031,-0.817468303,200,150,7,15,6,100,DEVIANCE
5,0.503225806,1615.5,-1315.5,-0.814298979,1000,500,4,15,3,50,DEVIANCE
6,0.494172494,1979.5,-1568.5,-0.792371811,1500,150,7,10,3,1000,DEVIANCE
7,0.490962099,1907,-1510,-0.791819612,200,100,2,10,6,100,DEVIANCE
8,0.495726496,1805.5,-1427.5,-0.790639712,1000,150,7,15,3,50,DEVIANCE
9,0.492589364,2452.5,-1925.5,-0.785117227,200,100,7,15,6,50,DEVIANCE
10,0.483870968,2108,-1626,-0.771347249,1000,100,7,10,6,100,DEVIANCE
11,0.500318878,1336.5,-1030.5,-0.771043771,450,200,4,15,3,50,DEVIANCE
12,0.500806452,1802,-1361.5,-0.75554939,1000,500,4,15,6,50,DEVIANCE
13,0.492307692,1715,-1295.5,-0.755393586,1500,150,7,10,3,500,DEVIANCE
14,0.482132222,2030,-1461,-0.719704433,200,150,4,15,6,1000,DEVIANCE
15,0.477069684,2192,-1558,-0.710766423,200,150,4,15,6,500,DEVIANCE
16,0.500380518,1768,-1229.5,-0.695418552,1000,150,4,15,3,100,DEVIANCE
17,0.495888678,2917.5,-2022,-0.693059126,450,100,7,15,3,500,DEVIANCE
18,0.491430849,2154.5,-1471,-0.68275702,1000,200,7,10,6,1000,DEVIANCE
19,0.50761035,1557.5,-1057.5,-0.678972713,1000,150,4,10,3,50,DEVIANCE
20,0.499596774,1405.5,-924.5,-0.657773035,1000,500,4,15,3,100,DEVIANCE
21,0.50137741,1314,-862,-0.656012177,1500,200,2,10,6,1000,DEVIANCE
22,0.491351099,1633.5,-1050,-0.642791552,1500,100,7,15,3,100,DEVIANCE
23,0.494959677,1680,-1079,-0.642261905,1500,500,4,15,3,50,DEVIANCE
24,0.503786369,1158,-743,-0.641623489,1000,200,7,10,3,50,DEVIANCE
25,0.491186839,1610,-1020.5,-0.633850932,200,150,2,10,6,1000,DEVIANCE
26,0.501897533,2042,-1292,-0.632713026,450,100,7,15,6,100,DEVIANCE
27,0.497786211,3243.5,-2041,-0.629258517,450,100,7,15,3,1000,DEVIANCE
28,0.489013558,2717.5,-1696,-0.624103036,1500,100,7,15,6,1000,DEVIANCE
29,0.497479839,2277.5,-1377,-0.604610318,1500,500,4,10,3,1000,DEVIANCE
30,0.5,3148.5,-1901,-0.603779578,450,100,7,10,6,1000,DEVIANCE
31,0.500744048,1590.5,-959,-0.602955046,1000,100,4,10,3,100,DEVIANCE
32,0.495232041,2831.5,-1702.5,-0.601271411,450,150,7,15,6,500,DEVIANCE
33,0.499193548,1919.5,-1148.5,-0.598332899,1000,500,4,15,6,500,DEVIANCE
34,0.499536178,2474.5,-1477.5,-0.597090321,1500,200,4,15,6,1000,DEVIANCE
35,0.502604167,1573,-939,-0.596948506,1000,100,4,10,3,50,DEVIANCE
36,0.498487903,2997,-1764,-0.588588589,1500,500,4,15,6,1000,DEVIANCE
37,0.493243243,1670,-976.5,-0.584730539,200,150,2,10,6,500,DEVIANCE
38,0.49602618,2396.5,-1401,-0.584602545,1500,100,7,15,3,500,DEVIANCE
39,0.5,1850,-1067,-0.576756757,450,100,7,15,3,50,DEVIANCE
40,0.499352332,1504.5,-862.5,-0.57328016,450,200,7,10,3,100,DEVIANCE
41,0.506325111,2314.5,-1324,-0.572045798,450,100,7,10,3,50,DEVIANCE
42,0.490927419,2289.5,-1304,-0.569556672,1500,500,4,10,6,1000,DEVIANCE
43,0.499046408,1920,-1059.5,-0.551822917,450,150,7,10,6,100,DEVIANCE
44,0.501907184,2390,-1317.5,-0.55125523,450,150,7,10,6,1000,DEVIANCE
45,0.501581278,1981,-1089,-0.549722362,450,100,7,10,6,50,DEVIANCE
46,0.482132222,1437,-789,-0.549060543,200,150,4,15,3,1000,DEVIANCE
47,0.497695853,1594.5,-867,-0.54374412,1000,100,7,10,3,1000,DEVIANCE
48,0.491431452,2116.5,-1144,-0.540515001,1500,500,4,10,3,500,DEVIANCE
49,0.495629371,1228.5,-660,-0.537240537,200,150,7,10,6,50,DEVIANCE
50,0.493298368,1956.5,-1047,-0.535139279,200,150,7,15,6,1000,DEVIANCE
51,0.498728544,1459,-778.5,-0.533584647,450,150,7,15,3,100,DEVIANCE
52,0.497960373,1217.5,-639,-0.524845996,200,150,7,10,6,500,DEVIANCE
53,0.497960373,1217.5,-639,-0.524845996,200,150,7,10,6,1000,DEVIANCE
54,0.495967742,1667.5,-844,-0.506146927,1500,500,4,15,3,100,DEVIANCE
55,0.499051233,1823,-898,-0.492594624,450,100,7,15,6,50,DEVIANCE
56,0.491841492,2234.5,-1095.5,-0.490266279,1500,150,7,15,3,500,DEVIANCE
57,0.487987988,1903,-926,-0.486600105,1000,150,2,10,6,1000,DEVIANCE
58,0.488088148,984,-478,-0.485772358,200,150,4,10,6,500,DEVIANCE
59,0.49682136,2246.5,-1086.5,-0.48364122,450,150,7,15,6,1000,DEVIANCE
60,0.484812388,1784,-860,-0.48206278,200,150,4,15,6,100,DEVIANCE
61,0.501943005,1990,-920.5,-0.462562814,450,200,7,10,6,50,DEVIANCE
62,0.497960373,1110,-510,-0.459459459,200,150,7,15,6,50,DEVIANCE
63,0.503478811,3133,-1428,-0.455793169,450,100,7,10,6,500,DEVIANCE
64,0.495335277,1765.5,-803,-0.45482866,200,100,2,15,6,1000,DEVIANCE
65,0.488242328,2132.5,-968,-0.453927315,1000,200,7,15,3,1000,DEVIANCE
66,0.504427577,3027,-1369,-0.452262967,450,100,7,10,3,1000,DEVIANCE
67,0.505060089,2673,-1205,-0.45080434,450,100,7,10,3,500,DEVIANCE
68,0.494156148,1741.5,-779,-0.447315533,1500,100,7,10,6,100,DEVIANCE
69,0.509419152,1072,-476.5,-0.444496269,1000,200,4,15,3,50,DEVIANCE
70,0.503348214,1534.5,-682,-0.444444444,1000,100,4,15,6,50,DEVIANCE
71,0.502760825,1662,-737.5,-0.443742479,200,100,7,15,3,100,DEVIANCE
72,0.502623907,885,-392,-0.442937853,200,100,2,10,3,50,DEVIANCE
73,0.49744898,1976,-848.5,-0.429402834,450,200,4,10,6,1000,DEVIANCE
74,0.502822581,2152.5,-922.5,-0.428571429,1000,500,4,10,3,500,DEVIANCE
75,0.500635728,1987,-841.5,-0.423502768,450,150,7,15,3,1000,DEVIANCE
76,0.502332362,1079.5,-451,-0.417786012,200,100,2,10,3,100,DEVIANCE
77,0.502739726,1372.5,-569,-0.414571949,1500,150,4,10,3,500,DEVIANCE
78,0.500403226,2065,-847.5,-0.410411622,1000,500,4,15,6,100,DEVIANCE
79,0.497086247,1261.5,-514,-0.407451447,200,150,7,10,6,100,DEVIANCE
80,0.503790087,1462.5,-590,-0.403418803,200,100,2,10,6,50,DEVIANCE
81,0.503108003,1993,-802.5,-0.402659308,1000,150,7,10,3,50,DEVIANCE
82,0.494959677,1341.5,-532,-0.396571003,1500,500,4,10,3,50,DEVIANCE
83,0.503162555,1492,-590,-0.395442359,450,100,7,15,3,100,DEVIANCE
84,0.498144712,1068,-418.5,-0.391853933,1500,200,4,10,3,500,DEVIANCE
85,0.483323407,1661,-650,-0.391330524,200,150,4,10,3,500,DEVIANCE
86,0.482336317,2016,-781.5,-0.38764881,1500,200,7,15,6,1000,DEVIANCE
87,0.488385944,1260,-486,-0.385714286,200,150,4,10,3,100,DEVIANCE
88,0.494596313,1881,-722.5,-0.3841042,450,150,7,15,3,500,DEVIANCE
89,0.507590133,1796.5,-687,-0.382410242,450,100,7,10,3,100,DEVIANCE
90,0.500726533,1475,-557.5,-0.377966102,200,100,7,15,3,500,DEVIANCE
91,0.502016129,1920,-721.5,-0.37578125,1000,500,4,10,6,50,DEVIANCE
92,0.495337995,1880.5,-700,-0.372241425,200,150,7,15,6,500,DEVIANCE
93,0.502590674,1923.5,-713.5,-0.370938394,450,200,7,15,3,50,DEVIANCE
94,0.496159754,1635.5,-603,-0.368694589,1000,100,7,15,3,100,DEVIANCE
95,0.502179328,1374,-506,-0.368267831,450,150,4,15,3,50,DEVIANCE
96,0.495334686,1681.5,-610.5,-0.363068689,1000,500,7,10,6,1000,DEVIANCE
97,0.494712103,1292,-458.5,-0.354876161,200,150,2,10,3,1000,DEVIANCE
98,0.500953592,2567.5,-884.5,-0.344498539,450,150,7,15,6,100,DEVIANCE
99,0.502860776,2407.5,-826.5,-0.343302181,450,150,7,10,6,500,DEVIANCE
100,0.495335277,2141,-728,-0.340028024,200,100,2,10,3,500,DEVIANCE
101,0.501897533,2196,-743,-0.338342441,450,100,7,15,6,1000,DEVIANCE
102,0.494523327,2535,-854.5,-0.337080868,1000,500,7,15,3,1000,DEVIANCE
103,0.502719503,1623.5,-535.5,-0.329842932,1000,150,7,10,6,1000,DEVIANCE
104,0.491032284,1687.5,-550,-0.325925926,1000,200,7,15,3,500,DEVIANCE
105,0.494949495,1884,-611.5,-0.324575372,1000,150,7,15,3,500,DEVIANCE
106,0.503562176,1546,-493.5,-0.319210867,450,200,7,10,3,50,DEVIANCE
107,0.508064516,1608.5,-511,-0.317687286,1500,500,4,15,3,1000,DEVIANCE
108,0.495571096,1981.5,-616.5,-0.311127933,1500,150,7,15,6,500,DEVIANCE
109,0.498608534,1288,-399.5,-0.310170807,1500,200,4,15,6,50,DEVIANCE
110,0.494929006,1749,-537.5,-0.307318468,1000,500,7,10,3,1000,DEVIANCE
111,0.492753623,1843.5,-556,-0.301600217,1500,100,7,15,3,1000,DEVIANCE
112,0.489948574,1970.5,-593,-0.300938848,1500,100,7,15,6,500,DEVIANCE
113,0.498991935,1409.5,-413,-0.293011706,1500,500,4,10,6,500,DEVIANCE
114,0.486896962,1226,-355,-0.289559543,200,150,4,15,3,500,DEVIANCE
115,0.503507653,1101,-317.5,-0.288374205,450,200,4,10,3,50,DEVIANCE
116,0.502283105,1325,-378,-0.285283019,1500,150,4,15,3,50,DEVIANCE
117,0.490909091,1929,-545.5,-0.28278901,1500,150,7,15,6,1000,DEVIANCE
118,0.507258065,2153,-602.5,-0.279842081,1000,500,4,10,6,100,DEVIANCE
119,0.497280497,1389,-378.5,-0.2724982,1000,150,7,15,3,1000,DEVIANCE
120,0.490768314,1720,-468,-0.272093023,200,150,4,15,6,50,DEVIANCE
121,0.495887192,1448,-375.5,-0.259323204,200,150,2,10,6,100,DEVIANCE
122,0.512641674,1639.5,-424.5,-0.258920403,200,100,7,10,3,1000,DEVIANCE
123,0.495920746,1677.5,-431,-0.256929955,200,150,7,15,3,100,DEVIANCE
124,0.513242009,1613,-404,-0.250464972,1500,150,4,15,3,1000,DEVIANCE
125,0.491351099,1711,-427,-0.24956166,1500,100,7,10,6,50,DEVIANCE
126,0.506993007,2204,-535.5,-0.242967332,450,150,7,15,6,50,DEVIANCE
127,0.492703533,1343,-324,-0.241250931,1000,100,7,15,3,1000,DEVIANCE
128,0.515252976,1971,-475,-0.240994419,1000,100,4,15,3,50,DEVIANCE
129,0.497280497,1176.5,-283.5,-0.240968976,1000,150,7,15,6,500,DEVIANCE
130,0.500913242,1506.5,-360,-0.238964487,1500,150,4,15,6,500,DEVIANCE
131,0.501369863,1220.5,-287,-0.235149529,1500,150,4,10,6,1000,DEVIANCE
132,0.49044289,1631.5,-366.5,-0.224639902,1500,150,7,15,6,50,DEVIANCE
133,0.497409326,1497,-325,-0.217100868,1000,200,7,15,6,500,DEVIANCE
134,0.493506494,1371,-286.5,-0.208971554,1500,200,4,10,6,100,DEVIANCE
135,0.502989239,1589,-331,-0.208307111,1000,200,7,15,6,1000,DEVIANCE
136,0.505060089,2413,-501,-0.207625363,450,100,7,10,6,100,DEVIANCE
137,0.495335277,2105,-423,-0.200950119,200,100,2,10,3,1000,DEVIANCE
138,0.493706294,1293.5,-257.5,-0.199072284,1500,150,7,10,3,100,DEVIANCE
139,0.497084548,1780,-353,-0.198314607,200,100,2,10,6,500,DEVIANCE
140,0.501893939,1482.5,-291.5,-0.196627319,1500,100,4,10,3,500,DEVIANCE
141,0.508996212,1574,-302.5,-0.192185515,1500,100,4,15,3,50,DEVIANCE
142,0.504533679,1840.5,-351.5,-0.190980712,450,200,7,10,3,1000,DEVIANCE
143,0.512937595,1869.5,-354.5,-0.189622894,1000,150,4,15,3,500,DEVIANCE
144,0.505102041,1450,-272.5,-0.187931034,1500,200,4,15,6,500,DEVIANCE
145,0.494623656,1749,-323,-0.184676958,1000,100,7,10,3,500,DEVIANCE
146,0.492773893,1299,-237.5,-0.182832948,1500,150,7,15,3,100,DEVIANCE
147,0.50020284,2110.5,-382.5,-0.181236674,1000,500,7,10,3,500,DEVIANCE
148,0.507990868,1297.5,-232.5,-0.179190751,1000,150,4,10,6,50,DEVIANCE
149,0.492089249,1835.5,-327.5,-0.178425497,1000,500,7,15,3,100,DEVIANCE
