0,ACCURACY,MAXDRAWDOWN,EQUITY,EQUITY/MDD,TRAIN_SIZE,TEST_SIZE,FEATURE_SIZE,MIN_SAMPLES_LEAF,MAX_DEPTH,N_ESTIMATORS,LOSS
1,0.545009785,15375,123300,8.019512195,1500,150,4,10,6,50,DEVIANCE
2,0.522787557,21912.5,139950,6.386765545,450,150,7,10,6,100,DEVIANCE
3,0.52375211,23750,129975,5.472631579,450,150,7,10,6,50,DEVIANCE
4,0.521164021,18737.5,96762.5,5.164109406,450,200,2,15,6,500,DEVIANCE
5,0.51771031,20750,103550,4.990361446,1500,100,7,15,6,500,DEVIANCE
6,0.529842342,22325,104612.5,4.685890258,1000,150,2,15,6,50,DEVIANCE
7,0.523204069,18437.5,84712.5,4.594576271,1500,150,7,15,6,100,DEVIANCE
8,0.532376126,21987.5,99012.5,4.503126777,1000,150,2,10,6,50,DEVIANCE
9,0.517676768,23050,99375,4.311279826,1000,200,2,15,3,1000,DEVIANCE
10,0.543643264,24812.5,105775,4.262972292,1500,100,7,15,3,50,DEVIANCE
11,0.509803922,19787.5,80750,4.080859128,1500,100,7,15,6,1000,DEVIANCE
12,0.522607023,24112.5,98187.5,4.072058061,450,200,2,15,3,1000,DEVIANCE
13,0.521396396,23637.5,95312.5,4.032258065,1000,150,2,15,6,500,DEVIANCE
14,0.527494331,28087.5,113200,4.030262572,1000,200,4,15,6,50,DEVIANCE
15,0.525817556,23650,94450,3.993657505,1000,500,2,15,6,100,DEVIANCE
16,0.508721625,24025,94462.5,3.931841831,450,100,7,15,3,100,DEVIANCE
17,0.522727273,24100,93700,3.887966805,1000,200,2,15,6,500,DEVIANCE
18,0.538486628,26087.5,101425,3.887877336,1500,150,4,15,6,100,DEVIANCE
19,0.547619048,28087.5,107850,3.839786382,1500,150,4,15,3,50,DEVIANCE
20,0.514874915,23262.5,88650,3.810854379,1500,500,7,15,6,500,DEVIANCE
21,0.52044252,26512.5,100987.5,3.809052334,450,200,2,10,3,1000,DEVIANCE
22,0.518630137,22712.5,85250,3.753439736,1000,150,4,10,3,100,DEVIANCE
23,0.521385902,30200,112312.5,3.718956954,450,100,7,15,3,1000,DEVIANCE
24,0.546556122,35262.5,130462.5,3.699751861,1500,200,4,10,3,100,DEVIANCE
25,0.514577259,17775,65400,3.679324895,450,200,4,10,6,50,DEVIANCE
26,0.518996416,29750,108787.5,3.656722689,450,100,7,15,3,500,DEVIANCE
27,0.525337838,27825,101262.5,3.639263252,1000,150,2,15,3,500,DEVIANCE
28,0.512659754,20762.5,74550,3.590608067,450,150,7,15,3,100,DEVIANCE
29,0.513362488,22887.5,81675,3.56854178,450,200,4,10,3,50,DEVIANCE
30,0.516723356,24225,86150,3.55624355,1000,200,4,10,6,100,DEVIANCE
31,0.516439909,23775,84300,3.545741325,1000,200,4,10,6,50,DEVIANCE
32,0.526643991,27350,96850,3.541133455,1000,200,4,15,6,100,DEVIANCE
33,0.511589008,27487.5,97087.5,3.532060027,450,100,7,10,3,1000,DEVIANCE
34,0.513261649,25687.5,89712.5,3.492457421,450,100,7,10,3,500,DEVIANCE
35,0.52393018,25025,86737.5,3.466033966,1000,150,2,15,6,100,DEVIANCE
36,0.547188755,25812.5,89150,3.453753027,1500,500,2,15,3,50,DEVIANCE
37,0.51771031,20500,69150,3.373170732,1500,100,7,10,3,1000,DEVIANCE
38,0.540610599,35837.5,120662.5,3.366934077,1000,500,4,10,3,100,DEVIANCE
39,0.522683398,27887.5,93700,3.359928283,450,150,2,10,6,100,DEVIANCE
40,0.508801543,26000,87325,3.358653846,450,150,7,10,3,100,DEVIANCE
41,0.535353535,27362.5,91137.5,3.330744632,1500,100,4,15,3,100,DEVIANCE
42,0.517163212,28662.5,94987.5,3.313999128,1500,200,7,10,3,500,DEVIANCE
43,0.523088023,30137.5,99762.5,3.310244712,450,200,2,10,3,100,DEVIANCE
44,0.513500597,28937.5,94012.5,3.248812095,450,100,7,10,6,1000,DEVIANCE
45,0.536369386,25562.5,83025,3.24792176,1500,100,7,10,3,50,DEVIANCE
46,0.516723356,22225,72000,3.239595051,1000,200,4,10,3,100,DEVIANCE
47,0.537442396,30275,97887.5,3.233278282,1000,500,4,10,3,50,DEVIANCE
48,0.532941944,25925,83275,3.212150434,1500,150,4,15,3,100,DEVIANCE
49,0.538510101,25300,81262.5,3.211956522,1500,100,4,15,3,50,DEVIANCE
50,0.529842342,26375,84687.5,3.210900474,1000,150,2,10,6,100,DEVIANCE
51,0.529468912,27012.5,86662.5,3.208236927,1500,200,7,10,6,50,DEVIANCE
52,0.528497409,30150,95762.5,3.176202322,1500,200,7,15,6,100,DEVIANCE
53,0.517241379,25000,79225,3.169,450,150,7,10,3,50,DEVIANCE
54,0.518018018,29400,92487.5,3.145833333,1000,150,2,15,3,1000,DEVIANCE
55,0.542613636,29250,91437.5,3.126068376,1500,100,4,15,6,50,DEVIANCE
56,0.521385902,29312.5,91562.5,3.123667377,450,100,7,10,6,50,DEVIANCE
57,0.509745867,24675,75637.5,3.065349544,450,200,7,10,3,100,DEVIANCE
58,0.527146465,26237.5,79837.5,3.042877561,1500,100,4,10,3,500,DEVIANCE
59,0.527578599,30712.5,93412.5,3.041514042,1000,100,2,10,3,500,DEVIANCE
60,0.523849607,22212.5,67450,3.036578503,1000,200,2,15,6,100,DEVIANCE
61,0.523664638,28687.5,85825,2.991721133,1500,500,7,10,3,500,DEVIANCE
62,0.515632516,24737.5,73412.5,2.967660435,450,200,2,10,3,500,DEVIANCE
63,0.523088023,35925,105862.5,2.946764092,450,200,2,15,6,50,DEVIANCE
64,0.529279279,24087.5,70937.5,2.944992216,1000,150,2,15,3,50,DEVIANCE
65,0.521959459,24512.5,71550,2.918918919,450,150,2,10,3,50,DEVIANCE
66,0.521889401,24562.5,71337.5,2.9043257,1000,500,4,15,3,1000,DEVIANCE
67,0.532512626,26700,76662.5,2.871254682,1500,100,4,15,6,100,DEVIANCE
68,0.519240019,27262.5,78037.5,2.862448418,450,200,2,15,6,1000,DEVIANCE
69,0.518929347,22537.5,64450,2.859678314,450,150,7,15,3,50,DEVIANCE
70,0.538882488,35850,101887.5,2.842050209,1000,500,4,15,3,50,DEVIANCE
71,0.521917808,31362.5,88525,2.822638501,1000,150,4,15,6,50,DEVIANCE
72,0.519305019,27350,77075,2.81809872,450,150,2,10,3,100,DEVIANCE
73,0.520080321,26500,73825,2.785849057,1000,500,2,15,6,50,DEVIANCE
74,0.519188596,31775,88187.5,2.775373721,1000,100,4,15,3,100,DEVIANCE
75,0.511334197,24875,68662.5,2.760301508,1500,200,7,10,3,1000,DEVIANCE
76,0.514106583,30800,84875,2.755681818,450,150,7,15,6,100,DEVIANCE
77,0.537730415,40375,110937.5,2.747678019,1000,500,4,15,6,50,DEVIANCE
78,0.516173246,25762.5,70312.5,2.729257642,1000,100,4,10,6,100,DEVIANCE
79,0.539540816,33462.5,91012.5,2.719835637,1500,200,4,15,3,100,DEVIANCE
80,0.519580805,25900,69562.5,2.685810811,1000,100,2,10,6,100,DEVIANCE
81,0.520408163,31412.5,84037.5,2.6752885,1000,100,2,15,6,500,DEVIANCE
82,0.526064844,31937.5,85087.5,2.664187867,1500,150,7,10,6,50,DEVIANCE
83,0.536931818,31162.5,82962.5,2.662254312,1500,100,4,10,6,50,DEVIANCE
84,0.525259067,31662.5,83637.5,2.64153178,1500,200,7,10,3,50,DEVIANCE
85,0.515993266,26900,70900,2.635687732,1000,200,2,10,6,500,DEVIANCE
86,0.525056306,31325,82437.5,2.631683958,1000,150,2,10,3,500,DEVIANCE
87,0.516445288,22562.5,59125,2.620498615,1500,100,7,10,6,1000,DEVIANCE
88,0.5171156,31337.5,82075,2.619066613,1000,200,2,15,6,1000,DEVIANCE
89,0.513986014,28712.5,74887.5,2.608184589,1500,150,7,15,6,500,DEVIANCE
90,0.535191441,29025,75387.5,2.597329888,1000,150,2,10,3,50,DEVIANCE
91,0.51509009,28250,73225,2.592035398,200,150,2,10,3,500,DEVIANCE
92,0.528801843,36087.5,92087.5,2.551783859,1000,500,4,10,6,50,DEVIANCE
93,0.511904762,22225,56700,2.551181102,450,200,4,10,3,500,DEVIANCE
94,0.51369356,30450,77512.5,2.545566502,450,200,7,15,6,50,DEVIANCE
95,0.522088353,23950,60900,2.542797495,1000,500,2,15,3,50,DEVIANCE
96,0.52328844,33675,85500,2.538975501,1000,200,2,15,3,100,DEVIANCE
97,0.517797018,34487.5,87412.5,2.534613991,450,200,2,10,6,100,DEVIANCE
98,0.524820739,35100,88687.5,2.526709402,1000,100,2,10,6,50,DEVIANCE
99,0.51827957,31775,80162.5,2.52281668,450,100,7,10,3,50,DEVIANCE
100,0.510204082,23762.5,59900,2.520778538,450,200,4,10,3,1000,DEVIANCE
101,0.511760966,24487.5,61562.5,2.514037774,1500,150,7,10,3,500,DEVIANCE
102,0.522321429,30075,75412.5,2.507481297,1500,200,4,10,3,500,DEVIANCE
103,0.527494331,31112.5,77525,2.491763761,1000,200,4,10,3,50,DEVIANCE
104,0.529354207,30837.5,76225,2.471828131,1500,150,4,10,6,1000,DEVIANCE
105,0.524787997,31062.5,76475,2.461971831,1500,150,4,10,3,500,DEVIANCE
106,0.534406566,26487.5,65112.5,2.458235017,1500,100,4,10,3,100,DEVIANCE
107,0.52055661,22687.5,55725,2.456198347,1500,100,7,10,6,100,DEVIANCE
108,0.524050024,35862.5,87112.5,2.429069362,450,200,2,15,3,50,DEVIANCE
109,0.513006993,23037.5,55900,2.426478568,1000,150,7,15,6,100,DEVIANCE
110,0.525300443,24887.5,60175,2.417880462,1500,100,7,10,6,50,DEVIANCE
111,0.518630137,25725,62100,2.413994169,1000,150,4,15,6,500,DEVIANCE
112,0.508960573,25575,61712.5,2.413000978,450,100,7,15,3,50,DEVIANCE
113,0.517926089,34325,82587.5,2.406045157,1000,100,2,15,6,1000,DEVIANCE
114,0.509234234,27975,66250,2.36818588,200,150,2,15,6,1000,DEVIANCE
115,0.511661808,27975,66000,2.35924933,450,200,4,10,6,100,DEVIANCE
116,0.525012025,40387.5,94812.5,2.347570412,450,200,2,10,3,50,DEVIANCE
117,0.520028958,32087.5,75300,2.34670822,450,150,2,15,6,500,DEVIANCE
118,0.543346774,36925,86425,2.340555179,1500,500,4,10,3,100,DEVIANCE
119,0.51827957,29012.5,67487.5,2.32615252,450,100,7,10,6,100,DEVIANCE
120,0.546314416,32525,75625,2.325134512,1500,150,4,10,3,50,DEVIANCE
121,0.530197076,22862.5,53137.5,2.324220886,1500,150,7,10,3,50,DEVIANCE
122,0.516064257,24825,57675,2.32326284,1000,500,2,15,3,100,DEVIANCE
