0,ACCURACY,MAXDRAWDOWN,EQUITY,EQUITY/MDD,TRAIN_SIZE,TEST_SIZE,FEATURE_SIZE,MIN_SAMPLES_LEAF,MAX_DEPTH,N_ESTIMATORS,LOSS
1,0.519354839,15862.5,103150,6.502758077,300,100,7,15,6,100,DEVIANCE
2,0.517507582,17075,110062.5,6.445827233,400,100,7,15,6,50,DEVIANCE
3,0.506044905,17562.5,106500,6.06405694,500,200,7,15,6,1000,DEVIANCE
4,0.508347726,17950,107250,5.974930362,500,200,7,10,6,500,DEVIANCE
5,0.508347726,18687.5,106650,5.707023411,500,200,7,10,6,1000,DEVIANCE
6,0.519640853,19700,110062.5,5.586928934,400,200,2,10,6,500,DEVIANCE
7,0.502302821,21187.5,111675,5.27079646,500,200,7,15,6,100,DEVIANCE
8,0.515301902,17525,89062.5,5.082025678,400,100,7,10,6,500,DEVIANCE
9,0.520939445,18262.5,92800,5.081451061,500,100,7,10,3,100,DEVIANCE
10,0.515322581,24725,124025,5.016177958,300,100,7,10,3,1000,DEVIANCE
11,0.506908463,19862.5,93325,4.698552549,500,200,7,15,6,500,DEVIANCE
12,0.508347726,27287.5,125125,4.585432891,500,200,7,15,3,100,DEVIANCE
13,0.518059002,20662.5,93162.5,4.50877193,400,100,7,15,6,500,DEVIANCE
14,0.519404572,18437.5,82837.5,4.492881356,300,200,2,15,3,100,DEVIANCE
15,0.51887294,20037.5,89962.5,4.4897068,300,200,2,10,3,500,DEVIANCE
16,0.507196315,21662.5,94675,4.370455857,500,200,7,10,3,1000,DEVIANCE
17,0.522860181,23612.5,102037.5,4.321334039,300,200,2,10,3,100,DEVIANCE
18,0.525784157,21125,88187.5,4.174556213,300,200,2,15,3,50,DEVIANCE
19,0.509620826,23925,97175,4.061650993,500,100,7,10,3,1000,DEVIANCE
20,0.517473118,24250,97950,4.039175258,300,100,7,15,3,1000,DEVIANCE
21,0.514784946,21325,85950,4.030480657,300,100,7,15,6,500,DEVIANCE
22,0.514199063,19262.5,76837.5,3.988968202,400,100,7,10,3,500,DEVIANCE
23,0.506225241,24650,98250,3.985801217,500,100,7,10,3,500,DEVIANCE
24,0.517260894,24775,98025,3.956609485,500,100,7,10,6,100,DEVIANCE
25,0.511827957,19837.5,78325,3.948330183,300,100,7,15,3,500,DEVIANCE
26,0.51208981,23187.5,90900,3.920215633,500,200,7,15,3,50,DEVIANCE
27,0.515683147,21487.5,83412.5,3.881908086,300,200,2,10,6,500,DEVIANCE
28,0.51754386,24525,92525,3.772680938,500,100,7,10,6,500,DEVIANCE
29,0.515301902,20662.5,77862.5,3.76830006,400,100,7,15,6,1000,DEVIANCE
30,0.524410774,25187.5,93987.5,3.731513648,400,200,2,15,6,100,DEVIANCE
