DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,CLASS
02/01/2013,7744.5,7805.5,7727,7791.5,117745,1
03/01/2013,7769,7781,7740,7750,76991,-1
04/01/2013,7747.5,7792.5,7730,7781,82768,1
07/01/2013,7765,7778,7715,7736,72842,-1
08/01/2013,7716,7758.5,7686,7708.5,95492,-1
09/01/2013,7714,7739,7692,7714.5,83825,1
10/01/2013,7744,7779,7687.5,7733.5,108943,-1
11/01/2013,7730.5,7735,7686.5,7729,87207,-1
14/01/2013,7745,7790.5,7705,7737,102574,-1
15/01/2013,7719,7739,7636.5,7698,124133,-1
16/01/2013,7674.5,7699,7646,7682,105569,1
17/01/2013,7676,7769,7664.5,7729.5,113818,1
18/01/2013,7743.5,7756.5,7706.5,7730,107263,-1
21/01/2013,7723.5,7762,7721,7751,40618,1
22/01/2013,7741.5,7750.5,7633,7719.5,138238,-1
23/01/2013,7713.5,7735,7687,7718,91942,1
24/01/2013,7705,7759.5,7661.5,7742.5,114710,1
25/01/2013,7741.5,7878,7740.5,7878,120326,1
28/01/2013,7883,7888,7833,7842,81673,-1
29/01/2013,7850,7859.5,7801.5,7853.5,88876,1
30/01/2013,7858,7869,7774.5,7795.5,100092,-1
31/01/2013,7786.5,7813.5,7762,7777,105114,-1
01/02/2013,7796.5,7856,7785,7837,118116,1
04/02/2013,7830.5,7838.5,7602,7633,158131,-1
05/02/2013,7625.5,7684,7621.5,7655.5,115642,1
06/02/2013,7674.5,7695,7536.5,7596,154455,-1
07/02/2013,7579.5,7662.5,7565,7607,138030,1
08/02/2013,7619.5,7655,7576,7654,91336,1
11/02/2013,7654,7678,7596.5,7629.5,85313,-1
12/02/2013,7615.5,7669,7592,7662,98313,1
13/02/2013,7662,7739,7648.5,7703,98028,1
14/02/2013,7696.5,7728.5,7606,7646.5,131056,-1
15/02/2013,7631,7651,7570,7599.5,111424,-1
18/02/2013,7607.5,7633,7567.5,7632,56340,1
19/02/2013,7620,7765.5,7609,7751,119712,1
20/02/2013,7753,7784.5,7705,7705,115823,-1
21/02/2013,7693,7698,7559.5,7605,160124,-1
22/02/2013,7622.5,7700,7607.5,7700,120607,1
25/02/2013,7695.5,7864,7633,7638,211333,-1
26/02/2013,7607.5,7680,7587,7639,166202,1
27/02/2013,7628.5,7724,7564,7709,152051,1
28/02/2013,7722.5,7784.5,7691,7738.5,117382,1
01/03/2013,7726.5,7768.5,7627.5,7717,162455,-1
04/03/2013,7665.5,7734,7635.5,7731,118586,1
05/03/2013,7748.5,7884.5,7737.5,7841,169591,1
06/03/2013,7854,7977.5,7851,7933.5,149442,1
07/03/2013,7936.5,7958,7909.5,7940,138407,1
08/03/2013,7946,8028,7942,7986,147894,1
11/03/2013,7985,7999,7955,7999,136228,1
12/03/2013,7981,8003,7933.5,7973,170497,-1
13/03/2013,7977,7991,7940.5,7983.5,192292,1
14/03/2013,7995,8061.5,7986,8050,125262,1
15/03/2013,8080,8089,8007,8050,105919,-1
18/03/2013,7913.5,8033.5,7858.5,8004.5,116869,1
19/03/2013,7996.5,8014.5,7932,7966.5,128289,-1
20/03/2013,7975.5,8047.5,7974,8007.5,108313,1
21/03/2013,8001,8013.5,7898,7932.5,130932,-1
22/03/2013,7915,7967,7884.5,7950.5,105451,1
25/03/2013,8014.5,8044.5,7860,7898,151171,-1
26/03/2013,7905,7927.5,7871.5,7909.5,102018,1
27/03/2013,7915,7931.5,7757.5,7827,142432,-1
28/03/2013,7810,7857.5,7786,7840.5,93369,1
02/04/2013,7800.5,7962.5,7793.5,7929,107740,1
03/04/2013,7923,7967,7865,7874.5,99022,-1
04/04/2013,7902,7942.5,7817,7847,134834,-1
05/04/2013,7820,7838.5,7643,7687.5,140890,-1
08/04/2013,7673.5,7710,7657,7699,88542,1
