DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,CLASS
17/07/2002,900.94,929.75,891.5,906.04,680619,1
18/07/2002,1025.5,1025.5,874.25,991.5,586016,-1
19/07/2002,991,991,839.75,966,638886,-1
22/07/2002,842.75,856.25,810.75,818.25,926669,-1
23/07/2002,818,836.25,787.5,790,878862,-1
24/07/2002,790,847.5,771,842,976138,1
25/07/2002,841.75,854.75,812.5,837.25,856090,-1
26/07/2002,837.5,855.75,824.75,852.5,527949,1
29/07/2002,855,900,852.5,892.75,533525,1
30/07/2002,892.75,910.25,883.5,903.25,691654,1
31/07/2002,903.5,916,888.75,908,543156,1
01/08/2002,908.25,911.5,879,883.5,650714,-1
02/08/2002,883.25,885.5,852.5,864,532709,-1
05/08/2002,865,867.75,831.25,832.75,540013,-1
06/08/2002,832.75,875,828.5,870.25,586339,1
07/08/2002,870,881,853.5,878.75,620137,1
08/08/2002,878.75,906.75,873.75,904.5,602286,1
09/08/2002,905,914.75,889.75,908.5,483917,1
12/08/2002,906.5,908.25,891.25,901.25,398982,-1
13/08/2002,901,912.25,882,883.75,563418,-1
14/08/2002,883.5,904.25,875.75,902.25,448748,1
15/08/2002,919.5,935.75,915.75,930.25,575577,1
16/08/2002,930,936,915,927.5,419804,-1
20/08/2002,949,949.5,931.5,938.5,463693,-1
21/08/2002,938.5,953.25,931,952,483874,1
22/08/2002,952.25,966,946,961.75,431549,1
23/08/2002,961.5,962.25,936.5,941,336441,-1
26/08/2002,940.25,951.5,929.75,947.75,448283,1
27/08/2002,947.75,956.5,929.75,935.75,498681,-1
28/08/2002,935.75,936.5,913,916.5,459382,-1
29/08/2002,916.25,925.25,902.5,915.25,465635,-1
30/08/2002,915,928.75,909,912.25,279956,-1
02/09/2002,913.25,913.25,907.5,908.5,2439,-1
03/09/2002,908.25,908.75,876,878.25,491629,-1
04/09/2002,878.25,896.75,875,889.5,596201,1
05/09/2002,889.5,890.75,869.25,883.5,629203,-1
06/09/2002,883.5,900,881.5,894.25,467001,1
09/09/2002,892.5,908,882.5,899.5,510043,1
10/09/2002,899.5,913.75,898.5,913,500109,1
11/09/2002,913,927.5,905.25,906,405532,-1
12/09/2002,905.75,908.75,884.25,887.5,55849,-1
13/09/2002,887.5,893.25,876,892,22568,1
16/09/2002,891.25,894.25,878.75,892.75,366486,1
17/09/2002,892.5,916,863.25,865.25,626990,-1
18/09/2002,865,879,856.75,859.5,624749,-1
19/09/2002,859.5,863.75,841,843,604544,-1
20/09/2002,842.75,851,838.25,842.5,504058,-1
23/09/2002,843.5,846,824.5,834,584099,-1
24/09/2002,834.25,835.25,815.5,820.5,672364,-1
25/09/2002,820.5,845,810.25,841.25,697443,1
27/09/2002,852.25,857,824.25,825,604117,-1
30/09/2002,825.25,826,798.25,814.75,733825,-1
01/10/2002,814.75,854.5,810.25,853,731143,1
02/10/2002,853,854.75,823,826.75,786909,-1
03/10/2002,827,840.5,816.25,819.5,773393,-1
04/10/2002,819.25,830.25,792.25,805.75,827330,-1
07/10/2002,804.75,808.75,782,787.75,733569,-1
08/10/2002,787.75,810,778.5,801,950668,1
09/10/2002,801.25,803.5,774.5,779,963492,-1
10/10/2002,779.25,807.25,767.25,803,857593,1
11/10/2002,802.75,844,799.25,838.25,714652,1
14/10/2002,836.75,845,827.5,842.75,486370,1
15/10/2002,843,884,842.5,872.25,895026,1
16/10/2002,872,885.25,855.5,873.75,716873,1
17/10/2002,874,889.5,872.25,887,611026,1
18/10/2002,887,889.25,865.75,883.5,583802,-1
21/10/2002,882,901.75,872.5,894.5,635519,1
22/10/2002,894.5,896.75,881.5,890.5,590607,-1
23/10/2002,890.5,901.25,873,900.75,752301,1
24/10/2002,901,905,877.5,879.25,760512,-1
25/10/2002,879.25,900,875.25,898.25,611495,1
28/10/2002,900.25,909.25,885,892,601159,-1
29/10/2002,892,893.25,866,883.75,725306,-1
30/10/2002,883.75,895.75,877,888.25,768463,1
31/10/2002,888.25,898.75,877.75,881.75,668898,-1
01/11/2002,881.75,904,875,898.75,600673,1
04/11/2002,905.75,925,904.75,907.5,531935,1
05/11/2002,907.25,915.75,903.75,915,507725,1
06/11/2002,915,926.5,903,921.25,729237,1
07/11/2002,921.25,922.25,897,903.25,615636,-1
08/11/2002,903,910.75,890.5,891,572567,-1
11/11/2002,892,894,873,876.5,399098,-1
12/11/2002,876.5,894.5,875.75,881.5,588519,1
13/11/2002,881.5,892.75,870.25,884,740140,1
14/11/2002,884.25,905.75,881.25,902.25,617206,1
15/11/2002,902.5,910.5,894.5,908.5,542679,1
18/11/2002,909,917.5,898.25,899.5,515156,-1
19/11/2002,899.5,905.75,892.25,897.5,584546,-1
20/11/2002,897.5,919.5,893.25,918.75,524960,1
21/11/2002,918.75,936.75,916.5,934,612014,1
22/11/2002,934,937.5,927.25,928.5,451294,-1
25/11/2002,929,937.25,922.5,930,493914,1
26/11/2002,930,932.5,910.75,912.5,504748,-1
27/11/2002,912.5,941,912,937.75,420444,1
28/11/2002,937.75,941.5,935,939.5,2447,1
29/11/2002,939.25,942.5,930.75,933.5,144555,-1
02/12/2002,934,955.25,926.75,939,640516,1
03/12/2002,939,939.25,917.75,921,615374,-1
04/12/2002,921,925.75,908.75,917,737918,-1
05/12/2002,917,926.25,905.25,907.5,634059,-1
06/12/2002,907.5,916,891.75,914.5,705502,1
09/12/2002,913.75,917.75,888.75,891.25,559441,-1
10/12/2002,891.25,905.25,891,902,521311,1
11/12/2002,902,910.25,895.5,904,504627,1
12/12/2002,904.25,908.75,896.25,902,59534,-1
13/12/2002,901.75,903.25,887,887.75,23987,-1
16/12/2002,886,911.25,884,910.5,455487,1
17/12/2002,910,911.25,898.75,902,420440,-1
18/12/2002,902,902.75,886,890.25,443812,-1
19/12/2002,890,900.25,878.75,886.25,522954,-1
20/12/2002,886.25,897.25,885,897,352789,1
23/12/2002,896.25,902,890.25,897.75,244189,1
24/12/2002,897.5,900,890,891.25,92843,-1
26/12/2002,890.25,903.25,885.75,888.75,191656,-1
27/12/2002,889,891.5,871.25,871.25,251638,-1
30/12/2002,872.25,881.5,869,877.25,322873,1
02/01/2003,883,909.75,882.5,907.25,464789,1
03/01/2003,907.25,910.75,901.75,910,410714,1
06/01/2003,911,931.5,903.75,926.5,533310,1
07/01/2003,926.75,930.5,918.75,923.25,655864,-1
08/01/2003,923.5,923.75,907.25,911,628901,-1
09/01/2003,911,928.5,908,926.5,605980,1
10/01/2003,926.5,933,915,927.25,676739,1
13/01/2003,926.5,937,920.75,926.75,678106,1
