DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,CLASS
11/01/2000,1473,1473.25,1447,1454,22515,-1
12/01/2000,1452,1456.5,1438.75,1441.5,21771,-1
13/01/2000,1445,1466.75,1443.25,1459,20395,1
14/01/2000,1459.75,1485,1459.25,1478.25,19683,1
18/01/2000,1478.5,1479,1462,1469.25,21128,-1
19/01/2000,1463.75,1474,1450.25,1472.5,19333,1
20/01/2000,1481.5,1485,1448,1456.25,24678,-1
21/01/2000,1452.5,1463.25,1449.25,1454,17922,1
24/01/2000,1458,1468.5,1403.25,1412.75,22592,-1
25/01/2000,1412.5,1424.75,1397.5,1419,27286,1
26/01/2000,1418,1422.75,1408.25,1416,20114,-1
27/01/2000,1414.25,1428.5,1388,1410.75,25423,-1
28/01/2000,1413.5,1420,1361.25,1367,27459,-1
31/01/2000,1370,1403,1357,1400.75,23539,1
01/02/2000,1401.75,1421.75,1391.25,1416.75,21498,1
02/02/2000,1418,1429.5,1410,1414.25,20232,-1
03/02/2000,1416.5,1438.25,1405.25,1436,27834,1
04/02/2000,1438,1449.5,1426.5,1431.25,21872,-1
07/02/2000,1427.25,1433.25,1419,1427,20993,-1
08/02/2000,1425.75,1449.5,1425.5,1445.75,19980,1
09/02/2000,1449.75,1454.75,1417,1418.5,25403,-1
10/02/2000,1417,1429.25,1412.25,1418.5,24036,1
11/02/2000,1420.75,1426.5,1384.25,1396,25655,-1
14/02/2000,1395.5,1403.5,1386.75,1398.25,22784,1
15/02/2000,1398.25,1414.75,1381,1409.25,25276,1
16/02/2000,1412.5,1413.5,1390.25,1392.75,23439,-1
17/02/2000,1394.75,1407,1384.25,1385.5,23371,-1
18/02/2000,1386.5,1393.5,1349,1354,23955,-1
22/02/2000,1352.25,1363.75,1336.5,1348.5,27127,-1
23/02/2000,1351,1374.25,1344.5,1364,25293,1
24/02/2000,1367,1370,1331,1355.5,30375,-1
25/02/2000,1356.5,1366.5,1331,1337.75,29199,-1
28/02/2000,1340.5,1366,1327.5,1348.25,29642,1
29/02/2000,1350.25,1374,1350,1372,23115,1
01/03/2000,1373.5,1388.75,1371,1384.75,22867,1
02/03/2000,1382.25,1390.5,1372.5,1385,23168,1
03/03/2000,1385.25,1414.5,1383.75,1410.5,21689,1
06/03/2000,1411,1412.25,1386.25,1395,18876,-1
07/03/2000,1394.75,1404.5,1351,1352,28955,-1
08/03/2000,1353.75,1376,1348.5,1365.75,26294,1
09/03/2000,1366.25,1405,1357.5,1404,3559,1
10/03/2000,1403.5,1415.5,1394.25,1399,1841,-1
13/03/2000,1412.25,1418.25,1381.25,1401.75,25508,-1
14/03/2000,1400.5,1414.25,1376.75,1380.5,27280,-1
15/03/2000,1379.25,1417.5,1374.5,1412.75,29536,1
16/03/2000,1416,1481.5,1413.5,1479.5,28693,1
17/03/2000,1476,1497.75,1468.25,1488.5,22837,1
20/03/2000,1487,1490.5,1466.75,1478,21786,-1
21/03/2000,1479.75,1514.25,1463.25,1507.75,24104,1
22/03/2000,1507,1525.25,1504,1518,23515,1
23/03/2000,1516,1553,1510,1544.25,25343,1
24/03/2000,1543,1574.25,1535.25,1555.5,25322,1
27/03/2000,1552,1554.5,1536,1539,20322,-1
28/03/2000,1541.25,1549.5,1523,1529.25,25502,-1
29/03/2000,1530.25,1541.25,1515,1530,25445,-1
30/03/2000,1528,1535,1493.5,1504.5,28257,-1
31/03/2000,1506.5,1538.75,1501,1517.5,25331,1
03/04/2000,1513,1528.75,1502,1528.5,28109,1
04/04/2000,1529.5,1544.75,1431,1518.25,36512,-1
05/04/2000,1515.75,1521.75,1491.25,1505,33581,-1
06/04/2000,1501.75,1530.75,1501.75,1516.5,25748,1
07/04/2000,1519.75,1535,1513.75,1529.5,23928,1
10/04/2000,1530,1544,1518,1521,25503,-1
11/04/2000,1518.5,1529.25,1497.5,1517.75,32039,-1
12/04/2000,1519.75,1524.5,1475,1475.75,31705,-1
13/04/2000,1479,1492.5,1451.25,1456,32901,-1
14/04/2000,1455,1462.75,1347,1367.25,37584,-1
17/04/2000,1349,1414.5,1344.5,1413.5,36305,1
18/04/2000,1409.75,1455.5,1401,1452.5,34866,1
19/04/2000,1449,1460,1435.25,1440.5,30931,-1
20/04/2000,1442.75,1447,1431.5,1446.75,21232,1
24/04/2000,1439,1441,1417,1437.5,32141,-1
25/04/2000,1440,1489.75,1437.25,1489.5,26645,1
26/04/2000,1486.25,1495.25,1467,1474,27267,-1
27/04/2000,1473.25,1480.75,1440.5,1468,32334,-1
28/04/2000,1469.5,1487.25,1458,1460.5,24284,-1
01/05/2000,1458.75,1492.75,1458.75,1476.75,26346,1
02/05/2000,1477.25,1478.5,1449,1451.5,28321,-1
03/05/2000,1446,1450,1404.5,1422.5,33271,-1
04/05/2000,1424.5,1428.75,1411.5,1423.5,27343,-1
05/05/2000,1423.75,1446,1406,1440,24614,1
08/05/2000,1435,1439.5,1424.5,1430.75,24982,-1
09/05/2000,1431.25,1439.75,1409.5,1419.25,29233,-1
10/05/2000,1421,1425.75,1383,1388.5,34376,-1
11/05/2000,1383.5,1419,1382.5,1415.5,27924,1
12/05/2000,1417,1438.75,1414.25,1431.25,23996,1
15/05/2000,1429.5,1459.5,1423.25,1457.5,23176,1
16/05/2000,1457.75,1478.75,1456.25,1471.75,26306,1
17/05/2000,1467,1467,1448.25,1456.75,27416,-1
18/05/2000,1452,1465.75,1441.5,1441.75,25505,-1
19/05/2000,1439.5,1444.25,1407,1415.5,26389,-1
22/05/2000,1411.5,1423.25,1372.5,1404.5,33803,-1
23/05/2000,1405.5,1411.5,1378.75,1382.5,31958,-1
24/05/2000,1383.25,1408,1365.5,1402.25,38242,1
25/05/2000,1402.75,1417.75,1378,1389.25,29470,-1
26/05/2000,1388,1396.5,1373.25,1382.25,24726,-1
30/05/2000,1388,1428.75,1386.75,1427.25,24878,1
31/05/2000,1428.75,1439,1419.5,1422,30243,-1
01/06/2000,1421,1453.75,1421,1451.75,27589,1
02/06/2000,1450.5,1492,1447,1475.75,23079,1
05/06/2000,1475.75,1480.5,1467.75,1470.75,25157,-1
06/06/2000,1474.25,1476.75,1457.25,1463.5,24537,-1
07/06/2000,1466,1477.5,1457.5,1472.5,23992,1
08/06/2000,1474,1477.75,1458.25,1466.75,4016,-1
09/06/2000,1471,1484,1455.5,1462.5,1629,-1
12/06/2000,1486,1490.5,1468.5,1469,19073,-1
13/06/2000,1468.75,1496,1465.75,1494.25,29077,1
14/06/2000,1495,1507.5,1489.5,1497.25,26965,1
15/06/2000,1498.25,1506.25,1486.25,1498.25,25364,1
16/06/2000,1500.5,1504,1479.5,1488,21497,-1
19/06/2000,1486.75,1514.25,1483.25,1505.25,23702,1
20/06/2000,1505,1509.25,1490.75,1499,25535,-1
21/06/2000,1499,1503.5,1488.25,1498.75,24296,-1
22/06/2000,1496.25,1499.75,1468.5,1476.25,25981,-1
23/06/2000,1477.25,1479.5,1457,1464,22410,-1
26/06/2000,1466.25,1480.25,1465.5,1479,21219,1
27/06/2000,1480,1484.25,1469.5,1471,20238,-1
28/06/2000,1474,1488,1470,1470.25,20406,-1
29/06/2000,1472.75,1473.75,1451,1458.25,27584,-1
30/06/2000,1457.5,1471,1455,1470.5,19225,1
03/07/2000,1471.75,1490.75,1467.5,1490.5,6480,1
05/07/2000,1488.25,1493.25,1458.5,1463,22691,-1
06/07/2000,1464.5,1479,1456.25,1474,23474,1
07/07/2000,1475.25,1502.25,1473.25,1494.5,22218,1
10/07/2000,1494.25,1502.75,1490,1491.75,21183,-1
11/07/2000,1490,1505.5,1486,1495,26846,1
12/07/2000,1501.25,1514.75,1500,1505.75,23499,1
