DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,CLASS
18/02/2003,1.0711,1.0744,1.0667,1.0677,1905,-1
19/02/2003,1.0676,1.0754,1.0656,1.0737,1890,1
20/02/2003,1.0733,1.0826,1.0733,1.0812,2606,1
21/02/2003,1.0812,1.0837,1.074,1.0763,2049,-1
24/02/2003,1.0716,1.0797,1.0701,1.079,2117,1
25/02/2003,1.078,1.0814,1.0733,1.0753,2385,-1
26/02/2003,1.0746,1.0803,1.0723,1.0774,1702,1
27/02/2003,1.0781,1.083,1.0728,1.0734,2223,-1
28/02/2003,1.0739,1.0801,1.0729,1.0798,1936,1
03/03/2003,1.0772,1.0894,1.0763,1.0893,2515,1
04/03/2003,1.0888,1.0931,1.0871,1.0876,2097,-1
05/03/2003,1.095,1.0997,1.094,1.0955,2405,1
06/03/2003,1.0963,1.1007,1.0922,1.0967,2435,1
07/03/2003,1.0967,1.1064,1.0964,1.1009,2592,1
10/03/2003,1.097,1.1027,1.097,1.102,870,1
11/03/2003,1.1012,1.1043,1.0965,1.1001,1296,-1
12/03/2003,1.1,1.1017,1.0944,1.0955,1562,-1
13/03/2003,1.0953,1.0955,1.074,1.0745,2902,-1
14/03/2003,1.0757,1.0784,1.0651,1.0712,2488,-1
17/03/2003,1.0752,1.0809,1.0553,1.0588,2713,-1
18/03/2003,1.0577,1.0617,1.0507,1.06,2221,1
19/03/2003,1.061,1.062,1.0519,1.0526,2011,-1
20/03/2003,1.0541,1.0642,1.048,1.0578,2461,1
21/03/2003,1.0585,1.0585,1.047,1.0493,2143,-1
24/03/2003,1.0555,1.0645,1.0536,1.0606,1979,1
25/03/2003,1.0621,1.0691,1.06,1.0622,2037,1
26/03/2003,1.0628,1.0673,1.0593,1.0663,1959,1
27/03/2003,1.0668,1.0715,1.0644,1.0665,1644,-1
28/03/2003,1.066,1.0773,1.0641,1.0754,2651,1
31/03/2003,1.0757,1.0903,1.0753,1.0888,2734,1
01/04/2003,1.089,1.0894,1.0836,1.0892,2382,1
02/04/2003,1.0918,1.0931,1.0722,1.0738,3385,-1
03/04/2003,1.0733,1.0766,1.0658,1.0734,3108,1
04/04/2003,1.0734,1.0741,1.0656,1.0706,2380,-1
