,DATE,PREDIZIONE0,PREDIZIONE1,PREDIZIONE2,PREDIZIONE3,PREDIZIONE4,PREDIZIONE5,PREDIZIONE6,PREDIZIONE7,PREDIZIONE8,PREDIZIONE9,DECISIONE
0,11/01/2000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,HOLD
1,12/01/2000,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,SELL
2,13/01/2000,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,SELL
3,14/01/2000,1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,HOLD
4,18/01/2000,1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,HOLD
5,19/01/2000,1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,HOLD
6,20/01/2000,1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,HOLD
7,21/01/2000,1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,HOLD
8,24/01/2000,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,SELL
9,25/01/2000,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,HOLD
10,26/01/2000,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,SELL
11,27/01/2000,1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,HOLD
12,28/01/2000,1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,HOLD
13,31/01/2000,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,SELL
14,01/02/2000,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,SELL
15,02/02/2000,1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,HOLD
16,03/02/2000,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,HOLD
17,04/02/2000,1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,HOLD
18,07/02/2000,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,SELL
19,08/02/2000,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,SELL
20,09/02/2000,1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,HOLD
21,10/02/2000,1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,HOLD
22,11/02/2000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,HOLD
23,14/02/2000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,HOLD
24,15/02/2000,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,SELL
25,16/02/2000,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,SELL
26,17/02/2000,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,SELL
27,18/02/2000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,HOLD
28,22/02/2000,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,HOLD
29,23/02/2000,1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,HOLD
30,24/02/2000,1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,HOLD
31,25/02/2000,1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,HOLD
32,28/02/2000,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,SELL
33,29/02/2000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,BUY
34,01/03/2000,1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,HOLD
35,02/03/2000,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,SELL
36,03/03/2000,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,SELL
37,06/03/2000,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,SELL
38,07/03/2000,1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,HOLD
39,08/03/2000,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,SELL
40,09/03/2000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,HOLD
41,10/03/2000,1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,HOLD
42,13/03/2000,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,HOLD
