,DATE,PREDIZIONE0,PREDIZIONE1,DECISIONE
0,11/01/2000,-1.0,-1.0,SELL
1,12/01/2000,-1.0,1.0,HOLD
2,13/01/2000,-1.0,-1.0,SELL
3,14/01/2000,-1.0,1.0,HOLD
4,18/01/2000,-1.0,-1.0,SELL
5,19/01/2000,-1.0,1.0,HOLD
6,20/01/2000,-1.0,-1.0,SELL
7,21/01/2000,1.0,1.0,BUY
8,24/01/2000,-1.0,-1.0,SELL
9,25/01/2000,-1.0,-1.0,SELL
10,26/01/2000,-1.0,-1.0,SELL
11,27/01/2000,1.0,1.0,BUY
12,28/01/2000,-1.0,-1.0,SELL
13,31/01/2000,-1.0,-1.0,SELL
14,01/02/2000,1.0,1.0,BUY
15,02/02/2000,-1.0,-1.0,SELL
16,03/02/2000,-1.0,-1.0,SELL
17,04/02/2000,-1.0,1.0,HOLD
18,07/02/2000,-1.0,1.0,HOLD
19,08/02/2000,-1.0,-1.0,SELL
20,09/02/2000,1.0,1.0,BUY
21,10/02/2000,-1.0,-1.0,SELL
22,11/02/2000,-1.0,-1.0,SELL
23,14/02/2000,-1.0,-1.0,SELL
24,15/02/2000,1.0,1.0,BUY
25,16/02/2000,-1.0,-1.0,SELL
26,17/02/2000,-1.0,-1.0,SELL
27,18/02/2000,1.0,1.0,BUY
28,22/02/2000,-1.0,-1.0,SELL
29,23/02/2000,-1.0,-1.0,SELL
30,24/02/2000,-1.0,-1.0,SELL
31,25/02/2000,-1.0,-1.0,SELL
32,28/02/2000,-1.0,-1.0,SELL
33,29/02/2000,1.0,1.0,BUY
34,01/03/2000,-1.0,-1.0,SELL
35,02/03/2000,1.0,-1.0,HOLD
36,03/03/2000,-1.0,1.0,HOLD
37,06/03/2000,1.0,1.0,BUY
38,07/03/2000,-1.0,-1.0,SELL
39,08/03/2000,1.0,1.0,BUY
40,09/03/2000,-1.0,-1.0,SELL
41,10/03/2000,-1.0,-1.0,SELL
42,13/03/2000,1.0,1.0,BUY
43,14/03/2000,1.0,1.0,BUY
44,15/03/2000,-1.0,-1.0,SELL
45,16/03/2000,-1.0,-1.0,SELL
46,17/03/2000,-1.0,-1.0,SELL
47,20/03/2000,1.0,1.0,BUY
48,21/03/2000,1.0,1.0,BUY
49,22/03/2000,-1.0,1.0,HOLD
50,23/03/2000,-1.0,-1.0,SELL
51,24/03/2000,-1.0,-1.0,SELL
52,27/03/2000,-1.0,-1.0,SELL
53,28/03/2000,-1.0,-1.0,SELL
54,29/03/2000,-1.0,-1.0,SELL
55,30/03/2000,-1.0,-1.0,SELL
56,31/03/2000,-1.0,-1.0,SELL
57,03/04/2000,-1.0,-1.0,SELL
58,04/04/2000,-1.0,-1.0,SELL
59,05/04/2000,-1.0,-1.0,SELL
60,06/04/2000,1.0,1.0,BUY
61,07/04/2000,1.0,1.0,BUY
62,10/04/2000,-1.0,-1.0,SELL
63,11/04/2000,-1.0,1.0,HOLD
64,12/04/2000,-1.0,-1.0,SELL
65,13/04/2000,-1.0,-1.0,SELL
66,14/04/2000,-1.0,-1.0,SELL
67,17/04/2000,1.0,1.0,BUY
68,18/04/2000,1.0,1.0,BUY
69,19/04/2000,-1.0,-1.0,SELL
70,20/04/2000,-1.0,-1.0,SELL
71,24/04/2000,-1.0,-1.0,SELL
72,25/04/2000,1.0,1.0,BUY
73,26/04/2000,-1.0,-1.0,SELL
74,27/04/2000,-1.0,-1.0,SELL
75,28/04/2000,1.0,1.0,BUY
76,01/05/2000,1.0,1.0,BUY
77,02/05/2000,-1.0,-1.0,SELL
78,03/05/2000,1.0,1.0,BUY
79,04/05/2000,-1.0,-1.0,SELL
80,05/05/2000,1.0,1.0,BUY
81,08/05/2000,-1.0,-1.0,SELL
82,09/05/2000,-1.0,-1.0,SELL
83,10/05/2000,-1.0,-1.0,SELL
84,11/05/2000,-1.0,-1.0,SELL
85,12/05/2000,-1.0,-1.0,SELL
86,15/05/2000,-1.0,-1.0,SELL
87,16/05/2000,1.0,1.0,BUY
88,17/05/2000,-1.0,-1.0,SELL
89,18/05/2000,-1.0,-1.0,SELL
90,19/05/2000,-1.0,-1.0,SELL
91,22/05/2000,1.0,1.0,BUY
92,23/05/2000,-1.0,-1.0,SELL
93,24/05/2000,-1.0,-1.0,SELL
94,25/05/2000,-1.0,-1.0,SELL
95,26/05/2000,1.0,1.0,BUY
96,30/05/2000,1.0,1.0,BUY
97,31/05/2000,1.0,1.0,BUY
98,01/06/2000,1.0,-1.0,HOLD
99,02/06/2000,-1.0,-1.0,SELL
100,05/06/2000,-1.0,1.0,HOLD
101,06/06/2000,1.0,1.0,BUY
102,07/06/2000,-1.0,-1.0,SELL
103,08/06/2000,-1.0,-1.0,SELL
104,09/06/2000,-1.0,1.0,HOLD
105,12/06/2000,1.0,1.0,BUY
106,13/06/2000,1.0,1.0,BUY
107,14/06/2000,-1.0,-1.0,SELL
108,15/06/2000,-1.0,-1.0,SELL
109,16/06/2000,-1.0,-1.0,SELL
110,19/06/2000,1.0,1.0,BUY
111,20/06/2000,-1.0,-1.0,SELL
112,21/06/2000,-1.0,-1.0,SELL
113,22/06/2000,-1.0,-1.0,SELL
114,23/06/2000,-1.0,-1.0,SELL
115,26/06/2000,1.0,1.0,BUY
116,27/06/2000,1.0,1.0,BUY
117,28/06/2000,-1.0,-1.0,SELL
118,29/06/2000,-1.0,-1.0,SELL
119,30/06/2000,1.0,1.0,BUY
120,03/07/2000,1.0,1.0,BUY
121,05/07/2000,-1.0,-1.0,SELL
122,06/07/2000,-1.0,-1.0,SELL
123,07/07/2000,-1.0,-1.0,SELL
124,10/07/2000,1.0,1.0,BUY
125,11/07/2000,-1.0,-1.0,SELL
126,12/07/2000,1.0,1.0,BUY
127,13/07/2000,-1.0,-1.0,SELL
128,14/07/2000,1.0,1.0,BUY
129,17/07/2000,-1.0,-1.0,SELL
130,18/07/2000,-1.0,-1.0,SELL
131,19/07/2000,-1.0,-1.0,SELL
132,20/07/2000,-1.0,-1.0,SELL
133,21/07/2000,1.0,1.0,BUY
134,24/07/2000,-1.0,-1.0,SELL
135,25/07/2000,-1.0,-1.0,SELL
136,26/07/2000,-1.0,-1.0,SELL
137,27/07/2000,-1.0,-1.0,SELL
138,28/07/2000,-1.0,-1.0,SELL
139,31/07/2000,1.0,1.0,BUY
140,01/08/2000,-1.0,-1.0,SELL
141,02/08/2000,-1.0,-1.0,SELL
142,03/08/2000,1.0,1.0,BUY
143,04/08/2000,-1.0,-1.0,SELL
144,07/08/2000,-1.0,-1.0,SELL
145,08/08/2000,-1.0,-1.0,SELL
146,09/08/2000,-1.0,-1.0,SELL
147,10/08/2000,-1.0,-1.0,SELL
148,11/08/2000,1.0,1.0,BUY
149,14/08/2000,-1.0,-1.0,SELL
150,15/08/2000,-1.0,-1.0,SELL
151,16/08/2000,-1.0,-1.0,SELL
152,17/08/2000,1.0,1.0,BUY
153,18/08/2000,-1.0,-1.0,SELL
154,21/08/2000,1.0,1.0,BUY
155,22/08/2000,-1.0,-1.0,SELL
156,23/08/2000,1.0,1.0,BUY
157,24/08/2000,-1.0,1.0,HOLD
158,25/08/2000,1.0,1.0,BUY
159,28/08/2000,1.0,1.0,BUY
160,29/08/2000,1.0,1.0,BUY
161,30/08/2000,-1.0,-1.0,SELL
162,31/08/2000,1.0,-1.0,HOLD
163,01/09/2000,-1.0,1.0,HOLD
164,05/09/2000,1.0,1.0,BUY
165,06/09/2000,-1.0,-1.0,SELL
166,07/09/2000,-1.0,-1.0,SELL
167,08/09/2000,1.0,-1.0,HOLD
168,11/09/2000,-1.0,1.0,HOLD
169,12/09/2000,-1.0,-1.0,SELL
170,13/09/2000,-1.0,-1.0,SELL
171,14/09/2000,1.0,1.0,BUY
172,15/09/2000,1.0,-1.0,HOLD
173,18/09/2000,-1.0,1.0,HOLD
174,19/09/2000,1.0,1.0,BUY
175,20/09/2000,1.0,1.0,BUY
176,21/09/2000,1.0,1.0,BUY
177,22/09/2000,-1.0,-1.0,SELL
178,25/09/2000,1.0,1.0,BUY
179,26/09/2000,-1.0,-1.0,SELL
180,27/09/2000,-1.0,-1.0,SELL
181,28/09/2000,1.0,1.0,BUY
182,29/09/2000,1.0,1.0,BUY
183,02/10/2000,1.0,1.0,BUY
184,03/10/2000,-1.0,-1.0,SELL
185,04/10/2000,1.0,1.0,BUY
186,05/10/2000,1.0,1.0,BUY
187,06/10/2000,1.0,-1.0,HOLD
188,09/10/2000,-1.0,-1.0,SELL
189,10/10/2000,1.0,1.0,BUY
190,11/10/2000,-1.0,-1.0,SELL
191,12/10/2000,1.0,1.0,BUY
192,13/10/2000,1.0,1.0,BUY
193,16/10/2000,1.0,-1.0,HOLD
194,17/10/2000,-1.0,-1.0,SELL
195,18/10/2000,1.0,1.0,BUY
196,19/10/2000,1.0,1.0,BUY
197,20/10/2000,-1.0,-1.0,SELL
198,23/10/2000,1.0,1.0,BUY
199,24/10/2000,1.0,1.0,BUY
200,25/10/2000,1.0,1.0,BUY
201,26/10/2000,1.0,1.0,BUY
202,27/10/2000,1.0,1.0,BUY
203,30/10/2000,-1.0,-1.0,SELL
204,31/10/2000,-1.0,1.0,HOLD
205,01/11/2000,1.0,-1.0,HOLD
206,02/11/2000,-1.0,-1.0,SELL
207,03/11/2000,1.0,1.0,BUY
208,06/11/2000,-1.0,-1.0,SELL
209,07/11/2000,1.0,1.0,BUY
210,08/11/2000,-1.0,-1.0,SELL
211,09/11/2000,1.0,1.0,BUY
212,10/11/2000,-1.0,-1.0,SELL
213,13/11/2000,1.0,1.0,BUY
214,14/11/2000,-1.0,-1.0,SELL
215,15/11/2000,1.0,-1.0,HOLD
216,16/11/2000,-1.0,1.0,HOLD
217,17/11/2000,1.0,1.0,BUY
218,20/11/2000,-1.0,-1.0,SELL
219,21/11/2000,-1.0,-1.0,SELL
220,22/11/2000,-1.0,-1.0,SELL
221,24/11/2000,-1.0,-1.0,SELL
222,27/11/2000,1.0,1.0,BUY
223,28/11/2000,-1.0,-1.0,SELL
224,29/11/2000,1.0,1.0,BUY
225,30/11/2000,1.0,1.0,BUY
226,01/12/2000,-1.0,-1.0,SELL
227,04/12/2000,-1.0,-1.0,SELL
228,05/12/2000,-1.0,-1.0,SELL
229,06/12/2000,-1.0,1.0,HOLD
230,07/12/2000,-1.0,-1.0,SELL
231,08/12/2000,-1.0,-1.0,SELL
232,11/12/2000,1.0,1.0,BUY
233,12/12/2000,-1.0,-1.0,SELL
234,13/12/2000,1.0,1.0,BUY
235,14/12/2000,1.0,1.0,BUY
236,15/12/2000,-1.0,-1.0,SELL
237,18/12/2000,-1.0,-1.0,SELL
238,19/12/2000,1.0,1.0,BUY
239,20/12/2000,-1.0,-1.0,SELL
240,21/12/2000,-1.0,-1.0,SELL
241,22/12/2000,-1.0,-1.0,SELL
242,26/12/2000,-1.0,-1.0,SELL
243,27/12/2000,1.0,1.0,BUY
244,28/12/2000,1.0,1.0,BUY
245,29/12/2000,-1.0,-1.0,SELL
246,02/01/2001,-1.0,-1.0,SELL
247,03/01/2001,-1.0,-1.0,SELL
248,04/01/2001,1.0,1.0,BUY
249,05/01/2001,1.0,1.0,BUY
250,08/01/2001,-1.0,-1.0,SELL
251,09/01/2001,1.0,1.0,BUY
252,10/01/2001,-1.0,-1.0,SELL
253,11/01/2001,-1.0,-1.0,SELL
254,12/01/2001,-1.0,-1.0,SELL
255,16/01/2001,1.0,1.0,BUY
256,17/01/2001,-1.0,-1.0,SELL
257,18/01/2001,1.0,1.0,BUY
258,19/01/2001,-1.0,-1.0,SELL
259,22/01/2001,-1.0,1.0,HOLD
260,23/01/2001,-1.0,1.0,HOLD
261,24/01/2001,1.0,-1.0,HOLD
262,25/01/2001,-1.0,-1.0,SELL
263,26/01/2001,1.0,1.0,BUY
264,29/01/2001,1.0,1.0,BUY
265,30/01/2001,1.0,1.0,BUY
266,31/01/2001,-1.0,-1.0,SELL
267,01/02/2001,1.0,1.0,BUY
268,02/02/2001,-1.0,-1.0,SELL
269,05/02/2001,1.0,1.0,BUY
270,06/02/2001,-1.0,-1.0,SELL
271,07/02/2001,-1.0,-1.0,SELL
272,08/02/2001,-1.0,-1.0,SELL
273,09/02/2001,-1.0,-1.0,SELL
274,12/02/2001,-1.0,-1.0,SELL
275,13/02/2001,1.0,1.0,BUY
276,14/02/2001,1.0,-1.0,HOLD
277,15/02/2001,1.0,1.0,BUY
278,16/02/2001,1.0,1.0,BUY
279,20/02/2001,1.0,-1.0,HOLD
280,21/02/2001,1.0,1.0,BUY
281,22/02/2001,1.0,1.0,BUY
282,23/02/2001,-1.0,-1.0,SELL
283,26/02/2001,1.0,1.0,BUY
284,27/02/2001,-1.0,-1.0,SELL
285,28/02/2001,1.0,-1.0,HOLD
286,01/03/2001,-1.0,-1.0,SELL
287,02/03/2001,-1.0,1.0,HOLD
288,05/03/2001,1.0,1.0,BUY
289,06/03/2001,-1.0,-1.0,SELL
290,07/03/2001,1.0,1.0,BUY
291,08/03/2001,1.0,1.0,BUY
292,09/03/2001,-1.0,-1.0,SELL
293,12/03/2001,1.0,1.0,BUY
294,13/03/2001,-1.0,-1.0,SELL
295,14/03/2001,-1.0,-1.0,SELL
296,15/03/2001,-1.0,-1.0,SELL
297,16/03/2001,1.0,1.0,BUY
298,19/03/2001,-1.0,-1.0,SELL
299,20/03/2001,-1.0,1.0,HOLD
300,21/03/2001,1.0,-1.0,HOLD
301,22/03/2001,-1.0,1.0,HOLD
302,23/03/2001,1.0,1.0,BUY
303,26/03/2001,-1.0,-1.0,SELL
304,27/03/2001,-1.0,-1.0,SELL
305,28/03/2001,1.0,1.0,BUY
306,29/03/2001,-1.0,-1.0,SELL
307,30/03/2001,1.0,1.0,BUY
308,02/04/2001,1.0,-1.0,HOLD
309,03/04/2001,1.0,1.0,BUY
310,04/04/2001,-1.0,-1.0,SELL
311,05/04/2001,-1.0,-1.0,SELL
312,06/04/2001,1.0,1.0,BUY
313,09/04/2001,-1.0,-1.0,SELL
314,10/04/2001,1.0,1.0,BUY
315,11/04/2001,1.0,1.0,BUY
316,12/04/2001,-1.0,-1.0,SELL
317,16/04/2001,1.0,1.0,BUY
318,17/04/2001,-1.0,-1.0,SELL
319,18/04/2001,-1.0,-1.0,SELL
320,19/04/2001,-1.0,-1.0,SELL
321,20/04/2001,1.0,-1.0,HOLD
322,23/04/2001,-1.0,-1.0,SELL
323,24/04/2001,1.0,1.0,BUY
324,25/04/2001,-1.0,-1.0,SELL
325,26/04/2001,-1.0,-1.0,SELL
326,27/04/2001,-1.0,-1.0,SELL
327,30/04/2001,-1.0,-1.0,SELL
328,01/05/2001,-1.0,1.0,HOLD
329,02/05/2001,-1.0,-1.0,SELL
330,03/05/2001,-1.0,1.0,HOLD
331,04/05/2001,-1.0,-1.0,SELL
332,07/05/2001,1.0,1.0,BUY
333,08/05/2001,1.0,1.0,BUY
334,09/05/2001,1.0,1.0,BUY
335,10/05/2001,1.0,1.0,BUY
336,11/05/2001,1.0,1.0,BUY
337,14/05/2001,-1.0,-1.0,SELL
338,15/05/2001,-1.0,-1.0,SELL
339,16/05/2001,1.0,1.0,BUY
340,17/05/2001,-1.0,-1.0,SELL
341,18/05/2001,1.0,1.0,BUY
342,21/05/2001,1.0,-1.0,HOLD
343,22/05/2001,-1.0,-1.0,SELL
344,23/05/2001,1.0,-1.0,HOLD
345,24/05/2001,1.0,1.0,BUY
346,25/05/2001,1.0,1.0,BUY
347,29/05/2001,1.0,1.0,BUY
348,30/05/2001,-1.0,-1.0,SELL
349,31/05/2001,1.0,1.0,BUY
350,01/06/2001,-1.0,-1.0,SELL
351,04/06/2001,-1.0,-1.0,SELL
352,05/06/2001,-1.0,-1.0,SELL
353,06/06/2001,-1.0,-1.0,SELL
354,07/06/2001,1.0,1.0,BUY
355,08/06/2001,1.0,1.0,BUY
356,11/06/2001,-1.0,-1.0,SELL
357,12/06/2001,-1.0,-1.0,SELL
358,13/06/2001,1.0,1.0,BUY
359,14/06/2001,-1.0,-1.0,SELL
360,15/06/2001,1.0,1.0,BUY
361,18/06/2001,1.0,1.0,BUY
362,19/06/2001,-1.0,-1.0,SELL
363,20/06/2001,1.0,1.0,BUY
364,21/06/2001,1.0,1.0,BUY
365,22/06/2001,1.0,1.0,BUY
366,25/06/2001,1.0,1.0,BUY
367,26/06/2001,-1.0,-1.0,SELL
368,27/06/2001,1.0,1.0,BUY
369,28/06/2001,-1.0,-1.0,SELL
370,29/06/2001,1.0,1.0,BUY
371,02/07/2001,1.0,1.0,BUY
372,03/07/2001,-1.0,-1.0,SELL
373,04/07/2001,-1.0,1.0,HOLD
374,05/07/2001,-1.0,-1.0,SELL
375,06/07/2001,-1.0,-1.0,SELL
376,09/07/2001,1.0,1.0,BUY
377,10/07/2001,1.0,1.0,BUY
378,11/07/2001,1.0,1.0,BUY
379,12/07/2001,1.0,1.0,BUY
380,13/07/2001,1.0,1.0,BUY
381,16/07/2001,1.0,1.0,BUY
382,17/07/2001,-1.0,-1.0,SELL
383,18/07/2001,-1.0,-1.0,SELL
